brand_name,model,release_year,curve_index,soc_percent,charging_power_kW
Abarth,500E,2024,0,0.0,80.75
Abarth,500E,2024,1,50.0,85.0
Abarth,500E,2024,2,80.0,42.5
Abarth,500E,2024,3,100.0,17.0
Abarth,500e Convertible,2023,0,0.0,85.0
Abarth,500e Convertible,2023,1,50.0,85.0
Abarth,500e Convertible,2023,2,80.0,51.0
Abarth,500e Convertible,2023,3,100.0,25.5
Abarth,500e Scorpionissima,2023,0,0.0,85.0
Abarth,500e Scorpionissima,2023,1,50.0,85.0
Abarth,500e Scorpionissima,2023,2,80.0,51.0
Abarth,500e Scorpionissima,2023,3,100.0,25.5
Abarth,600e Scorpionissima,2024,0,0.0,100.0
Abarth,600e Scorpionissima,2024,1,50.0,100.0
Abarth,600e Scorpionissima,2024,2,80.0,60.0
Abarth,600e Scorpionissima,2024,3,100.0,30.0
Abarth,600e Turismo,2024,0,0.0,100.0
Abarth,600e Turismo,2024,1,50.0,100.0
Abarth,600e Turismo,2024,2,80.0,60.0
Abarth,600e Turismo,2024,3,100.0,30.0
Abarth,convertible,2023,0,0.0,37.8
Abarth,convertible,2023,1,50.0,37.8
Abarth,convertible,2023,2,80.0,22.68
Abarth,convertible,2023,3,100.0,11.0
Abarth,hatchback,2023,0,0.0,37.8
Abarth,hatchback,2023,1,50.0,37.8
Abarth,hatchback,2023,2,80.0,22.68
Abarth,hatchback,2023,3,100.0,11.0
Abarth,scorpionissima,2023,0,0.0,37.8
Abarth,scorpionissima,2023,1,50.0,37.8
Abarth,scorpionissima,2023,2,80.0,22.68
Abarth,scorpionissima,2023,3,100.0,11.0
Aiways,U5.,2022,0,0.0,60.0
Aiways,U5.,2022,1,50.0,60.0
Aiways,U5.,2022,2,80.0,36.0
Aiways,U5.,2022,3,100.0,11.0
Aiways,U6.,2022,0,0.0,60.0
Aiways,U6.,2022,1,50.0,60.0
Aiways,U6.,2022,2,80.0,36.0
Aiways,U6.,2022,3,100.0,11.0
Alpine,A290 Electric 180 hp,2024,0,0.0,100.0
Alpine,A290 Electric 180 hp,2024,1,50.0,100.0
Alpine,A290 Electric 180 hp,2024,2,80.0,50.0
Alpine,A290 Electric 180 hp,2024,3,100.0,20.0
Alpine,A290 Electric 220 hp,2024,0,0.0,100.0
Alpine,A290 Electric 220 hp,2024,1,50.0,100.0
Alpine,A290 Electric 220 hp,2024,2,80.0,50.0
Alpine,A290 Electric 220 hp,2024,3,100.0,20.0
Artega,Karo,2020,0,0.0,150.0
Artega,Karo,2020,1,20.0,150.0
Artega,Karo,2020,2,40.0,120.0
Artega,Karo,2020,3,60.0,90.0
Artega,Karo,2020,4,80.0,60.0
Artega,Karo,2020,5,100.0,11.0
Audi,50,2019,0,0.0,64.7
Audi,50,2019,1,20.0,64.7
Audi,50,2019,2,40.0,52.0
Audi,50,2019,3,60.0,39.0
Audi,50,2019,4,80.0,26.0
Audi,50,2019,5,100.0,11.0
Audi,50,2021,0,0.0,64.7
Audi,50,2021,1,30.0,64.7
Audi,50,2021,2,60.0,45.29
Audi,50,2021,3,80.0,25.88
Audi,50,2021,4,100.0,11.0
Audi,55,2019,0,0.0,86.5
Audi,55,2019,1,30.0,86.5
Audi,55,2019,2,60.0,60.55
Audi,55,2019,3,80.0,34.6
Audi,55,2019,4,100.0,11.0
Audi,55,2020,0,0.0,86.5
Audi,55,2020,1,30.0,86.5
Audi,55,2020,2,60.0,60.55
Audi,55,2020,3,80.0,34.6
Audi,55,2020,4,100.0,11.0
Audi,A6 Avant e-tron,2024,0,0.0,225.0
Audi,A6 Avant e-tron,2024,1,50.0,225.0
Audi,A6 Avant e-tron,2024,2,80.0,112.5
Audi,A6 Avant e-tron,2024,3,100.0,45.0
Audi,A6 Avant e-tron performance,2024,0,0.0,270.0
Audi,A6 Avant e-tron performance,2024,1,50.0,270.0
Audi,A6 Avant e-tron performance,2024,2,80.0,162.0
Audi,A6 Avant e-tron performance,2024,3,100.0,81.0
Audi,A6 Avant e-tron quattro,2024,0,0.0,270.0
Audi,A6 Avant e-tron quattro,2024,1,50.0,270.0
Audi,A6 Avant e-tron quattro,2024,2,80.0,162.0
Audi,A6 Avant e-tron quattro,2024,3,100.0,81.0
Audi,A6 Sportback e-tron,2024,0,0.0,225.0
Audi,A6 Sportback e-tron,2024,1,50.0,225.0
Audi,A6 Sportback e-tron,2024,2,80.0,112.5
Audi,A6 Sportback e-tron,2024,3,100.0,45.0
Audi,A6 Sportback e-tron performance,2024,0,0.0,270.0
Audi,A6 Sportback e-tron performance,2024,1,50.0,270.0
Audi,A6 Sportback e-tron performance,2024,2,80.0,162.0
Audi,A6 Sportback e-tron performance,2024,3,100.0,81.0
Audi,A6 Sportback e-tron quattro,2024,0,0.0,270.0
Audi,A6 Sportback e-tron quattro,2024,1,50.0,270.0
Audi,A6 Sportback e-tron quattro,2024,2,80.0,162.0
Audi,A6 Sportback e-tron quattro,2024,3,100.0,81.0
Audi,GT,2021,0,0.0,254.6
Audi,GT,2021,1,75.0,268.0
Audi,GT,2021,2,100.0,11.0
Audi,Q4 Sportback e-tron,2021,0,0.0,95.0
Audi,Q4 Sportback e-tron,2021,1,75.0,100.0
Audi,Q4 Sportback e-tron,2021,2,100.0,7.2
Audi,Q4 Sportback e-tron,2021,3,80.0,65.0
Audi,Q4 Sportback e-tron,2021,4,100.0,25.0
Audi,Q4 Sportback e-tron 40,2021,0,0.0,143.0
Audi,Q4 Sportback e-tron 40,2021,1,50.0,143.0
Audi,Q4 Sportback e-tron 40,2021,2,80.0,85.8
Audi,Q4 Sportback e-tron 40,2021,3,100.0,42.9
Audi,Q4 Sportback e-tron 45,2023,0,0.0,150.0
Audi,Q4 Sportback e-tron 45,2023,1,20.0,150.0
Audi,Q4 Sportback e-tron 45,2023,2,40.0,120.0
Audi,Q4 Sportback e-tron 45,2023,3,60.0,90.0
Audi,Q4 Sportback e-tron 45,2023,4,80.0,60.0
Audi,Q4 Sportback e-tron 45,2023,5,100.0,11.0
Audi,Q4 Sportback e-tron 45 quattro,2023,0,0.0,150.0
Audi,Q4 Sportback e-tron 45 quattro,2023,1,20.0,150.0
Audi,Q4 Sportback e-tron 45 quattro,2023,2,40.0,120.0
Audi,Q4 Sportback e-tron 45 quattro,2023,3,60.0,90.0
Audi,Q4 Sportback e-tron 45 quattro,2023,4,80.0,60.0
Audi,Q4 Sportback e-tron 45 quattro,2023,5,100.0,11.0
Audi,Q4 Sportback e-tron 55 quattro,2023,0,0.0,175.0
Audi,Q4 Sportback e-tron 55 quattro,2023,1,50.0,175.0
Audi,Q4 Sportback e-tron 55 quattro,2023,2,80.0,87.5
Audi,Q4 Sportback e-tron 55 quattro,2023,3,100.0,35.0
Audi,Q4 e-tron,2021,0,0.0,95.0
Audi,Q4 e-tron,2021,1,75.0,100.0
Audi,Q4 e-tron,2021,2,100.0,7.2
Audi,Q4 e-tron,2021,3,80.0,62.0
Audi,Q4 e-tron,2021,4,90.0,35.0
Audi,Q4 e-tron,2021,5,100.0,25.0
Audi,Q4 e-tron,2023,0,0.0,128.3
Audi,Q4 e-tron,2023,1,75.0,135.0
Audi,Q4 e-tron,2023,2,100.0,11.0
Audi,Q4 e-tron 45 quattro,2023,0,0.0,150.0
Audi,Q4 e-tron 45 quattro,2023,1,20.0,150.0
Audi,Q4 e-tron 45 quattro,2023,2,40.0,120.0
Audi,Q4 e-tron 45 quattro,2023,3,60.0,90.0
Audi,Q4 e-tron 45 quattro,2023,4,80.0,60.0
Audi,Q4 e-tron 45 quattro,2023,5,100.0,11.0
Audi,Q4 e-tron 55 quattro,2023,0,0.0,175.0
Audi,Q4 e-tron 55 quattro,2023,1,50.0,175.0
Audi,Q4 e-tron 55 quattro,2023,2,80.0,87.5
Audi,Q4 e-tron 55 quattro,2023,3,100.0,35.0
Audi,Q6 e-tron,2024,0,0.0,247.0
Audi,Q6 e-tron,2024,1,75.0,260.0
Audi,Q6 e-tron,2024,2,100.0,11.0
Audi,Q6 e-tron,2024,3,100.0,45.0
Audi,Q6 e-tron Sportback,2024,0,0.0,225.0
Audi,Q6 e-tron Sportback,2024,1,50.0,225.0
