brand_name,model,release_year,battery_kWh,avg_consumption_Wh_per_km,ac_phases,ac_max_power_kW,dc_max_power_kW,has_default_charging_curve
Abarth,500E,2024,42.2,22.2,3,11.0,85.0,True
Abarth,600e Scorpionissima,2024,50.8,18.1,3,11.0,100.0,False
Abarth,500e Convertible,2023,37.8,16.8,3,11.0,85.0,False
Abarth,500e Scorpionissima,2023,37.8,16.8,3,11.0,85.0,False
Abarth,600e Turismo,2024,50.8,18.1,3,11.0,100.0,False
Abarth,scorpionissima,2023,37.8,16.8,3,11.0,37.8,False
Abarth,hatchback,2023,37.8,16.8,3,11.0,37.8,False
Abarth,convertible,2023,37.8,16.8,3,11.0,37.8,False
Aiways,U5.,2022,60.0,19.0,3,11.0,60.0,False
Aiways,U6.,2022,60.0,17.1,3,11.0,60.0,False
Alpine,A290 Electric 220 hp,2024,52.0,17.0,3,11.0,100.0,False
Alpine,A290 Electric 180 hp,2024,52.0,16.8,3,11.0,100.0,False
Artega,Karo,2020,14.4,7.2,1,4.0,150.0,True
Audi,GT,2021,85.0,21.0,3,11.0,268.0,True
Audi,GT,2021,85.0,20.2,3,11.0,268.0,True
Audi,Q4 Sportback e-tron,2021,52.0,17.6,3,7.2,100.0,True
Audi,Q4 Sportback e-tron,2021,77.0,19.0,3,11.0,125.0,False
Audi,Q4 e-tron,2021,52.0,18.2,3,7.2,100.0,True
Audi,Q4 e-tron,2021,77.0,18.8,3,11.0,125.0,False
Audi,Q4 e-tron,2023,77.0,18.3,3,11.0,135.0,True
Audi,Q4 e-tron,2021,77.0,19.7,3,11.0,125.0,False
Audi,Q6 e-tron,2024,94.9,19.8,3,11.0,260.0,True
Audi,Q6 e-tron,2024,94.9,20.6,3,11.0,270.0,True
Audi,Q8 e-tron,2022,89.0,20.9,3,11.0,155.0,True
Audi,Q8 e-tron,2022,106.0,21.0,3,11.0,168.0,True
Audi,Q8 e-tron,2022,106.0,20.2,3,11.0,168.0,True
Audi,SQ6 e-tron,2024,94.9,21.3,3,11.0,270.0,True
Audi,e-tron 50,2019,65.0,22.7,3,11.0,124.0,False
Audi,e-tron 50,2019,65.0,22.7,3,22.0,124.0,False
Audi,e-tron 55,2019,86.5,23.4,3,11.0,155.0,False
Audi,e-tron 55,2019,86.5,23.4,3,22.0,155.0,False
Audi,e-tron S,2020,95.0,27.0,3,22.0,188.0,False
Audi,e-tron S,2020,86.5,27.0,3,22.0,149.0,False
Audi,e-tron GT quattro,2021,85.0,20.2,3,11.0,268.0,True
Audi,A6 Sportback e-tron quattro,2024,94.9,16.2,3,11.0,270.0,False
Audi,e-tron GT RS,2024,97.0,18.5,3,11.0,320.0,False
Audi,e-tron GT S,2024,97.0,18.0,3,11.0,320.0,False
Audi,A6 Avant e-tron quattro,2024,94.9,17.7,3,11.0,270.0,False
Audi,Q6 e-tron,2024,75.8,19.2,3,11.0,225.0,False
Audi,e-tron Sportback 55 quattro,2020,86.5,22.8,3,11.0,155.0,False
Audi,Q4 e-tron 55 quattro,2023,77.0,19.5,3,11.0,175.0,False
Audi,A6 Avant e-tron,2024,75.8,16.0,3,11.0,225.0,False
Audi,A6 Sportback e-tron,2024,75.8,15.6,3,11.0,225.0,False
Audi,e-tron 50 quattro,2021,64.7,23.1,3,11.0,120.0,False
Audi,e-tron 55 quattro,2020,86.5,23.7,3,11.0,155.0,False
Audi,e-tron GT RS performance,2024,97.0,18.5,3,11.0,320.0,False
Audi,Q4 Sportback e-tron 45,2023,77.0,17.7,3,11.0,150.0,True
Audi,S6 Sportback e-tron,2024,94.9,17.3,3,11.0,270.0,False
Audi,Q6 e-tron Sportback performance,2024,94.9,18.6,3,11.0,260.0,False
