,company_name,Region,City,Postcode,peak_hours,peak_price,off_peak_hours,off_peak_price,weekend_price,time_sensitive_flag,day_sensitive_flag
0,ubitricity,London,0,0,06:00-23:00,0.57,23:00-06:00,0.47,0.0,0,0
1,SureCharge/FM Conway,nationwide,0,0,19:00-16:00,0.49,16:00-19:00,0.85,0.49,0,0
3,Char.gy,nationwide,0,0,07:00-00:00,0.59,00:00-07:00,0.39,0.0,0,0
6,GeniePoint,nationwide,0,0,,,,,0.9,0,0
7,City EV,London,0,0,,,,,0.33,0,0
10,Qwello,nationwide,0,0,07:00-21:00,0.42,21:00-07:00,0.42,0.42,0,0
11,Believ,nationwide,0,0,,,,,0.66,0,0
12,ESB EV Solutions,nationwide,0,0,,,,,0.73,1,1
13,Connected Kerb,nationwide,0,0,,,,,0.5,0,0
14,Blink Charging,nationwide,0,0,,,,,0.5929,0,0
15,Smart Charge,nationwide,0,0,,,,,0.49,0,0
