chargeDeviceID,connector_type,rated_power_kW,charge_method,status
68c7fca1e3bba5e49ec90847dcdd456b,Type 2 Mennekes (IEC62196),3.7,Single Phase AC,In service
bfbbf188d7ddb47c10611fe4f4b2ed13,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4af1462cabaeb4c5fa408bda1d510366,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
7ab3ed355c7f45f418e605289d3ea253,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ca4c987e8d94252b018f6eaaa893e022,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
727ff17e85283fe859b1c46adae1094a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
89650278562612d94fd3a5b4f981a513,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6f69d9dade187609fb97bbbe349b9147,3-pin Type G (BS1363),3.0,Single Phase AC,In service
c1a4bf4288eebb76ba3a3fc30302747a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
1d9aa17d1d1fce9a1a133601a2ef8296,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6103607c18d3a0e23e80ed60835b2e9c,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2d9e9a27caab97a9899ba3076caa5f49,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
03d0bc115df730be6e44c5366f2c78d3,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
bd47190364d527b71e2285d511871036,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2f96a6bd87ff056fa63b286cb3899f30,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4f5a97cf06cf69028997db51d8726d28,3-pin Type G (BS1363),3.0,Single Phase AC,In service
dc0439caeb74ffc2795571af07a7eab1,3-pin Type G (BS1363),3.0,Single Phase AC,In service
51f3eb940fd73a19119534c063967bff,3-pin Type G (BS1363),3.0,Single Phase AC,In service
6a52c5f0d8176dbd325654259c27a570,3-pin Type G (BS1363),3.7,Single Phase AC,In service
