user_id,ev_model,user_type,include_subscription,sessions_per_month,start_lat,start_lon,end_lat,end_lon,depart_datetime,start_soc_pct,reserve_soc_pct,objective,max_detour_km,top_k_candidates,step_horizon_s,trip_km,est_required_kwh,available_kwh_at_start,kwh_per_km,needs_charge
0,150kw-,Member,1,20,51.453157,-0.038473,51.537917,-0.073554,2025-09-06T23:06,30.419097025919417,13.603641933335641,cost,2.0,8,5,9.733,1.880597426617856,9.74787936684554,0.19321868145667892,0
1,e-SpaceTourer M 50 kWh,Member,1,20,51.447633,-0.214844,51.534234,-0.146748,2025-09-06T19:00,23.18751591301504,13.556188807373353,time,2.0,8,5,10.722,1.9639096389306452,1.9262654211283377,0.18316635319256158,1
2,GT,Payg,0,20,51.475464,-0.104691,51.457403,-0.128275,2025-09-02T09:07,11.591775614744389,11.013475155416621,cost,2.0,8,5,2.589,0.5068173004395171,0.49271199134725785,0.19575793759734147,1
3,e-208,Payg,0,20,51.466192,-0.152297,51.554634,-0.117897,2025-09-06T09:00,14.311504934172067,10.183276975841185,hybrid,2.0,8,5,10.118,1.9317390915406796,1.9080290351578777,0.19092104087178094,1
4,compact,Payg,0,20,51.471218,-0.202057,51.460146,-0.083364,2025-09-03T03:14,25.473812576706635,11.518997609035345,hybrid,2.0,8,5,8.314,1.4368697141101376,6.698311184482241,0.1728253204366295,0
5,suv,Member,1,20,51.547493,-0.05958,51.469913,-0.143876,2025-09-06T04:33,15.163344245842652,10.785681524294754,time,2.0,8,5,10.414,2.075183935098355,2.0246690087159025,0.1992686705491027,1
6,ORA 07,Payg,0,20,51.473646,-0.16397,51.547884,-0.147582,2025-09-02T01:57,26.730066527011324,11.97894239607847,cost,2.0,8,5,8.333,1.6068873141005686,12.314182934380623,0.1928341910597106,0
7,standard range,Payg,0,20,51.467358,-0.141404,51.502013,-0.126019,2025-09-06T15:29,28.624817258538734,14.896730595763021,cost,2.0,8,5,3.998,0.7739405527749179,10.092102122864482,0.19358192915830863,0
8,suv 580,Member,1,20,51.505592,-0.065141,51.498035,-0.204161,2025-09-04T08:05,28.66514621251629,10.905356854526104,hybrid,2.0,8,5,9.659,1.6791534873403933,19.264856252735118,0.1738434089802664,0
9,C-Zero,Payg,0,20,51.458231,-0.236012,51.46955,-0.013336,2025-09-06T19:02,15.012428119929764,11.594369717114844,hybrid,2.0,8,5,15.477,2.840208694824291,0.6836116805629839,0.18351157813686703,1
