agent_id,ev_model,user_type,objective,include_subscription,sessions_per_month,start_lat,start_lon,dest_lat,dest_lon,depart_datetime,start_soc_pct,reserve_soc_pct,target_soc_pct,max_detour_km,top_k_candidates,step_horizon_s
U001,e-tech ev60 130hp,Payg,cost,False,0,51.47292,-0.19667,51.514944,0.001077,2025-08-12T18:44:20,6.9,12.0,80.0,12.0,5,60
U002,63kwh,Member,time,True,8,51.482723,-0.220132,51.514944,0.001077,2025-08-12T14:51:12,5.8,12.0,80.0,12.0,5,60
U003,xdrive50,Member,cost,True,4,51.471072,-0.197204,51.514944,0.001077,2025-08-12T11:24:59,9.5,12.0,80.0,12.0,5,60
U004,S6 Avant e-tron,Payg,hybrid,False,0,51.546516,-0.066799,51.490664,-0.245389,2025-08-12T19:45:21,6.3,12.0,80.0,12.0,5,60
U005,Air,Payg,hybrid,False,0,51.519871,-0.149048,51.488423,-0.005687,2025-08-12T18:29:52,7.8,12.0,80.0,12.0,5,60
U006,long,Member,cost,True,8,51.522315,-0.123836,51.490664,-0.245389,2025-08-12T16:35:15,8.3,12.0,80.0,12.0,5,60
U007,iEV7s,Payg,cost,False,0,51.529079,-0.089564,51.490664,-0.245389,2025-08-12T17:09:41,7.4,12.0,80.0,12.0,5,60
U008,Q6 e-tron,Payg,cost,False,0,51.531612,-0.134805,51.488423,-0.005687,2025-08-12T17:07:24,8.9,12.0,80.0,12.0,5,60
U009,standard range single motor,Payg,cost,False,0,51.493752,-0.195623,51.514944,0.001077,2025-08-12T19:32:45,7.0,12.0,80.0,12.0,5,60
U010,compact,Member,cost,True,8,51.497693,-0.223658,51.514944,0.001077,2025-08-12T20:29:48,6.2,12.0,80.0,12.0,5,60
U011,l3,Payg,cost,False,0,51.473698,-0.210493,51.514944,0.001077,2025-08-12T17:31:23,5.7,12.0,80.0,12.0,5,60
U012,4 cross turismo,Member,hybrid,True,8,51.492941,-0.206091,51.514944,0.001077,2025-08-12T15:52:47,8.1,12.0,80.0,12.0,5,60
U013,Korando e-Motion,Payg,cost,False,0,51.49001,-0.21621,51.514944,0.001077,2025-08-12T18:08:25,7.7,12.0,80.0,12.0,5,60
U014,e-tron GT RS,Member,time,True,8,51.472767,-0.210037,51.514944,0.001077,2025-08-12T07:27:44,7.1,12.0,80.0,12.0,5,60
U015,advance,Member,hybrid,True,8,51.485319,-0.205348,51.514944,0.001077,2025-08-12T07:53:58,5.7,12.0,80.0,12.0,5,60
U016,gt,Member,cost,True,12,51.537645,-0.079235,51.490664,-0.245389,2025-08-12T12:25:15,9.6,12.0,80.0,12.0,5,60
U017,Cyberster Trophy,Payg,time,False,0,51.52158,-0.141975,51.488423,-0.005687,2025-08-12T14:14:22,9.0,12.0,80.0,12.0,5,60
