#{"t_start": 1756672314.1194448, "env_id": "None"}
r,l,t
50.104167,29,14.032612
50.145489,4,14.692005
48.880435,11,20.399172
40.427899,25,26.694523
45.192029,23,32.096125
49.75,1,32.912985
56.873626,13,36.235403
43.832826,13,39.976027
47.889528,9,42.412809
49.75,1,43.173225
52.667606,20,45.695344
48.666667,22,48.869233
50.927129,14,51.872854
24.943366,51,56.7584
51.590054,17,59.890043
39.389625,34,64.62422
53.86501,13,67.917658
51.466813,22,74.909728
48.865025,5,78.222105
49.439829,18,81.408959
49.766261,6,82.915904
50.217391,6,86.29592
48.363333,12,87.988464
48.157631,20,89.484762
50.515298,11,94.117164
38.318513,56,96.644759
44.462307,37,99.445121
51.27381,8,100.845058
51.704471,20,104.729852
40.0,7,104.744911
46.327916,32,111.63919
35.253541,27,116.311921
50.082261,33,123.988943
36.897557,47,130.476804
50.712121,12,132.316966
48.272989,13,135.683584
49.116667,9,137.166348
37.273073,41,145.539372
48.78976,4,148.133664
45.000153,32,149.575175
42.500005,29,157.133136
38.495437,49,164.897055
44.528623,26,168.196521
50.155032,22,171.493233
48.992063,8,174.689541
52.196295,22,179.841139
48.404624,5,183.082127
49.800633,7,186.595176
49.063725,11,191.653679
26.497992,70,197.929847
48.851858,5,199.342628
50.257804,5,200.24264
51.516088,19,203.678433
42.73865,39,208.716596
48.386633,14,211.44363
47.6049,13,212.792976
50.634549,29,217.780789
50.07666,2,218.577056
49.83577,29,224.289467
53.302846,25,226.717407
47.482387,13,228.540287
45.351268,15,232.787142
49.754558,15,235.688136
46.884662,15,239.499073
44.019798,40,245.397298
50.168175,4,247.170383
48.225881,14,248.445294
47.419225,12,251.319698
57.288406,64,259.475259
47.022012,13,261.79569
48.167035,42,268.43329
46.609535,18,273.370981
55.540028,61,284.446996
46.68913,12,290.327816
42.190909,28,295.937237
50.130654,7,300.511619
43.685968,23,306.365452
42.734639,39,310.303177
31.858545,49,315.17933
56.024194,23,317.185372
50.502712,10,319.375347
48.477722,6,321.450921
49.639517,12,325.172283
45.565876,26,328.652767
49.153178,3,329.651095
51.114847,14,332.117051
55.80001,32,333.647867
35.6501,16,336.499412
49.280952,10,337.460302
15.300452,68,343.992986
45.11087,17,347.66573
48.798363,20,351.396038
46.060477,28,355.228418
47.503854,28,361.869241
44.523328,14,364.621235
42.720191,44,368.621853
51.077787,12,372.629408
51.204514,18,375.885717
49.683532,2,376.3519
50.0,1,377.359519
51.202381,35,382.207178
49.5,2,383.322354
45.52187,20,385.578309
50.632635,13,389.626605
50.44837,13,391.868395
49.270833,33,398.254641
50.959715,19,400.851772
46.936275,45,409.601497
48.708564,6,412.663562
50.251519,8,415.411411
47.554167,17,420.920986
48.323316,8,424.969021
50.11802,11,425.465417
49.524823,23,431.175765
50.077309,7,433.477422
51.189578,25,438.656818
0.0,30,438.77031
49.553623,2,439.161528
48.260575,12,443.850714
45.654485,19,448.654492
48.202401,8,450.635461
47.869766,8,453.888122
49.340889,24,458.036714
46.449946,27,464.441808
48.903509,20,467.007641
47.069444,22,473.881882
46.572637,22,476.206145
49.979853,14,482.123972
43.070833,18,488.783857
50.601202,10,490.560661
50.33224,6,494.256317
48.459459,22,497.06666
47.875617,9,498.81915
52.851085,35,500.483652
47.9625,20,504.488497
46.337121,31,509.005591
50.715853,16,512.89071
44.261405,31,517.454822
50.416774,11,520.376189
43.421498,39,525.367995
48.344512,24,528.085951
49.053922,10,533.241523
47.075269,26,542.847181
43.910858,30,553.043203
41.029748,35,560.006749
45.265842,21,563.516242
49.177236,4,564.91135
47.173938,15,569.822203
-42.25,54,569.895526
50.374143,6,572.43168
44.164173,30,582.27249
48.462862,8,583.759536
49.542867,2,584.796593
51.861618,27,590.665117
46.797101,16,595.212364
50.098432,25,599.038943
50.0,1,599.963202
39.623016,33,606.070237
49.541667,6,607.065602
46.715636,20,609.31739
45.597603,32,614.665733
47.107402,16,617.50211
51.312533,21,624.561598
49.772381,6,625.128622
48.946347,17,627.91374
43.862524,26,633.991403
49.40445,5,635.474359
43.689687,25,639.711131
48.944785,6,644.259262
47.988095,17,649.460383
50.550409,17,656.904938
50.7094,21,661.038665
48.238069,10,663.649669
49.879924,3,665.74767
41.130093,21,671.207395
49.75,1,672.20563
50.19837,7,675.431362
39.876729,22,682.629413
49.678935,12,686.111632
49.41413,18,692.194244
42.930556,12,695.306442
50.380589,6,697.422766
44.476229,19,699.978454
48.496764,12,701.512761
50.790346,13,704.5566
42.591915,38,710.968257
48.576998,10,719.12626
50.283011,6,720.061095
50.214709,39,728.010612
47.808824,38,736.037195
48.380937,9,739.16522
51.365942,18,742.430528
48.198276,37,754.092574
49.284178,4,755.539574
50.961552,38,757.138567
41.388285,29,767.536938
48.164048,24,772.632583
46.728088,19,776.735565
44.509408,23,780.922797
50.441908,11,783.157142
50.385798,10,787.17607
46.857277,19,790.528677
48.161677,14,794.932466
52.397099,28,800.053553
51.463662,19,803.35584
49.353522,12,805.926933
48.935185,7,808.760116
48.997531,5,809.560659
47.720588,20,814.350574
49.597222,3,814.887605
44.878645,22,817.23736
44.571093,25,821.655324
49.75,1,823.114366
48.423112,15,827.110769
44.646222,24,834.050524
49.75,1,835.004409
48.202756,7,836.69513
49.395299,4,837.797146
49.819272,23,847.13051
48.602941,11,852.45247
48.652048,5,855.20689
49.889558,10,856.242037
54.31115,44,865.564065
48.594016,22,871.689802
48.906823,27,884.799159
49.114458,8,886.443852
48.5,18,890.056975
54.179745,27,896.122225
45.85575,5,897.309993
47.828752,12,902.224323
61.059237,15,904.917098
50.627717,14,907.811192
45.460077,20,917.524251
49.25,3,921.090347
48.094356,7,923.194312
50.242664,4,925.835188
49.296627,7,927.232429
52.095365,28,933.33789
47.822433,8,935.967458
48.666667,12,940.210677
48.628571,26,943.629357
51.907974,25,952.28708
50.271989,9,955.57261
49.05637,5,957.372237
48.964286,17,961.789395
50.579435,27,967.852028
34.38762,14,971.58997
50.536275,16,975.79305
50.221602,6,978.355738
47.27375,15,982.321053
45.950828,20,986.169022
48.143507,27,993.199895
47.079289,14,996.343714
48.249094,8,999.792384
48.607036,19,1002.532151
48.95183,14,1004.192351
50.390689,6,1005.154316
45.844342,25,1014.452486
49.971618,13,1017.418118
48.856742,13,1021.051283
50.322437,9,1025.006131
50.214493,6,1026.815102
-16.5,35,1026.942132
49.440876,12,1029.537371
48.765802,7,1031.333689
48.995471,4,1032.601661
50.423203,17,1037.305681
46.1875,35,1046.557011
45.089586,34,1055.928356
49.980159,10,1057.328814
49.013649,4,1059.183625
46.054723,13,1065.314777
44.041711,39,1074.617089
-8.0,38,1074.736049
48.833768,4,1076.550937
49.290123,10,1079.542413
48.471312,17,1087.131554
49.081569,4,1089.032762
46.888876,10,1094.539312
49.545455,10,1098.854332
47.883137,9,1103.467036
50.0,1,1104.403652
7.25,24,1104.46065
48.61191,15,1109.978446
47.96558,9,1111.833472
51.291173,26,1119.098017
49.152557,4,1119.550999
49.27553,16,1127.550871
47.852183,30,1130.649092
49.75,1,1131.31409
51.953333,6,1135.340667
47.304217,20,1144.418668
49.493056,3,1145.942721
48.537037,8,1149.273118
49.854469,6,1150.569638
48.850427,19,1154.896136
48.846154,8,1157.27575
47.357127,14,1159.998345
51.002511,22,1167.73176
49.070264,5,1169.637321
45.646872,20,1174.047799
47.780908,18,1179.681652
49.05326,5,1181.52868
49.490113,23,1182.983442
49.75,1,1184.035524
49.523304,9,1190.133391
46.67233,18,1192.647665
51.049901,13,1197.883672
47.830407,10,1201.659271
45.580441,16,1208.170855
44.330004,30,1215.075294
49.026749,17,1220.624763
48.292735,13,1224.599865
43.5,5,1228.694638
48.701598,20,1235.386053
50.083653,5,1238.012554
48.274802,17,1242.874484
51.344551,6,1244.925662
49.306799,4,1247.092468
50.535973,8,1250.203462
49.407303,9,1251.78653
49.517094,3,1252.834931
49.808564,6,1253.86084
48.05811,9,1257.723967
46.732609,15,1264.494709
50.050077,15,1268.364712
49.900618,7,1270.941114
47.37141,15,1275.734297
51.020796,22,1281.543078
48.217054,12,1287.232284
48.470404,6,1290.420711
48.424399,6,1294.293689
50.137064,8,1295.822713
49.75,1,1296.467714
49.436846,3,1298.679134
49.711815,6,1301.236688
50.767061,12,1306.491304
44.0,4,1309.792586
18.0,20,1309.818618
46.479572,10,1312.835722
43.752868,11,1318.834831
46.110205,21,1326.675596
50.565041,12,1330.591316
53.965368,37,1340.035849
48.937337,5,1340.860838
50.601909,16,1346.849684
48.913861,11,1351.843826
43.224283,16,1353.647635
50.866745,25,1356.633067
49.338246,16,1360.593605
44.875654,19,1368.808555
49.25,3,1372.191232
46.760725,17,1378.486037
39.93135,16,1381.112803
50.38231,21,1387.073307
51.295232,13,1388.914309
50.109831,10,1393.395801
44.829361,28,1401.71771
49.418613,4,1404.68837
49.961794,3,1406.637107
46.822988,24,1412.223403
49.977477,10,1415.793692
-12.25,39,1415.911699
46.961831,12,1418.591668
46.799316,16,1425.31146
50.32971,6,1428.715251
49.5,2,1430.377852
50.375,14,1435.330396
47.634652,11,1439.593994
49.49581,9,1440.200962
47.670616,10,1444.98318
51.573786,28,1451.711975
-10.0,39,1451.842991
49.375096,17,1456.86144
45.797964,17,1465.527927
49.638554,5,1467.37041
49.413805,3,1467.650443
50.333691,10,1470.881881
49.25299,10,1473.361531
49.82337,4,1474.602538
50.249315,8,1477.083383
45.264727,26,1485.889001
45.5,4,1488.010404
57.456751,13,1491.697003
47.866201,7,1494.638489
48.692786,11,1498.097666
49.978632,10,1500.325883
49.539644,6,1502.902233
53.523907,19,1508.332234
45.572624,19,1512.901468
47.075565,16,1520.214277
50.64372,12,1528.683954
50.403491,7,1532.055735
47.72992,29,1536.211599
49.638158,5,1537.977842
50.171523,4,1539.892909
49.587628,11,1542.61744
49.656663,11,1546.617445
48.624339,10,1551.051295
47.663906,12,1554.372889
49.449275,8,1558.100291
47.953566,10,1559.872346
50.555174,14,1564.009418
49.970689,6,1566.441508
49.470165,5,1569.580569
49.225,6,1570.699099
43.75,4,1571.197154
62.503578,29,1578.643827
47.371287,22,1584.163225
47.989607,38,1591.789612
45.581628,24,1599.879424
49.936219,4,1602.760931
50.075712,23,1609.386951
48.630115,7,1611.267605
47.665942,11,1615.884964
49.512983,17,1618.283341
49.060047,4,1620.735471
48.937953,10,1622.760972
49.682997,20,1626.399281
49.384016,8,1629.008398
49.25,3,1631.478681
47.852535,12,1637.236632
50.0,2,1639.103096
50.057032,2,1639.834053
50.097106,4,1642.145756
48.703993,11,1645.490341
49.489758,8,1648.881425
48.033861,7,1651.8514
44.0,4,1653.414756
48.137617,15,1657.944787
49.467742,6,1658.419434
48.412991,7,1663.761422
47.899621,11,1666.080521
47.933333,12,1677.783589
49.944347,12,1679.940691
46.182227,19,1686.8683
43.88279,22,1693.323353
50.44041,21,1699.88539
49.656926,7,1703.288892
50.365385,17,1707.429399
52.398374,15,1712.411766
47.32381,24,1724.372075
49.759964,14,1730.300319
46.9843,21,1736.054556
49.415675,22,1740.776892
50.450897,10,1744.750467
50.770403,12,1749.993489
50.040236,5,1753.927307
27.0,15,1754.038267
46.24195,21,1767.325903
49.20412,10,1770.385569
47.544673,13,1775.337635
45.212091,37,1784.632532
50.174014,5,1789.20541
50.084384,5,1791.017416
50.056143,4,1795.330762
47.731433,9,1798.660547
49.041667,8,1801.834669
50.660655,24,1812.938198
3.75,31,1813.04923
50.319289,9,1815.59189
48.745098,13,1818.172137
49.565182,4,1819.255447
39.105072,20,1826.359544
47.912602,19,1835.579895
47.597259,9,1839.259723
50.196256,4,1840.523637
48.763416,4,1842.970081
51.08061,14,1849.261797
48.29071,8,1853.062184
41.827899,13,1858.557671
50.369313,15,1867.95037
48.740196,24,1882.470814
48.674374,8,1891.034181
49.075083,7,1896.213194
43.498188,24,1906.498739
42.606858,18,1916.383068
51.78219,20,1923.615598
48.114727,13,1930.846335
49.5,2,1933.29024
46.996641,14,1944.136583
50.213794,7,1950.194765
49.5,2,1952.729607
51.136201,8,1958.49551
50.17971,7,1965.539813
48.759058,4,1969.51889
49.830339,8,1973.816363
51.01682,10,1976.784618
48.978469,6,1983.032322
49.726263,10,1989.078003
48.136978,9,1994.630072
44.919665,13,1998.307471
49.948081,12,2006.526871
46.801753,16,2011.614517
48.709402,12,2021.15642
51.526239,16,2026.176899
50.0,1,2026.995611
49.813725,5,2029.714301
49.2,6,2033.218993
47.917143,10,2041.935115
49.173913,12,2050.965324
48.762828,8,2055.907413
47.27208,15,2065.283398
45.692829,10,2073.417051
46.497405,19,2076.842242
49.75,1,2077.58545
49.010136,4,2080.886045
49.702381,12,2086.139912
49.859257,11,2089.907374
49.8355,8,2095.173559
50.066123,5,2098.199794
48.192982,16,2103.2211
49.083333,5,2107.443763
48.565936,11,2110.086274
49.987552,2,2110.939691
48.626126,14,2112.874965
47.640055,13,2118.679668
49.910061,5,2119.693261
50.59989,16,2126.30553
51.068273,14,2129.23981
51.2462,17,2130.998097
49.0,4,2134.645922
58.789474,20,2140.999196
49.168615,4,2142.968696
41.684842,35,2150.259641
50.893844,18,2152.516189
50.0,2,2154.023991
50.140448,11,2158.60663
47.608423,16,2165.006775
49.149292,4,2166.405637
49.776643,4,2168.970568
49.384259,5,2170.614401
49.276316,6,2173.721922
52.928295,16,2176.484526
49.79421,14,2178.462818
46.094319,20,2186.444833
50.0,1,2186.875539
50.411403,10,2191.204718
48.944997,17,2194.311741
49.434028,4,2198.078771
49.951993,4,2199.713411
45.25,5,2199.72241
49.163139,4,2202.277621
47.684783,11,2206.729814
50.25201,9,2210.474989
43.773217,13,2216.215752
49.895889,5,2218.675103
48.849812,13,2221.62309
49.435536,17,2224.205392
49.43633,6,2225.247463
49.0,4,2230.321858
48.522401,11,2235.355241
49.5,2,2236.658688
48.435641,7,2238.833241
46.79087,12,2244.635161
50.0,3,2247.930726
49.75,1,2249.014692
7.75,29,2249.122721
47.307252,16,2255.535602
47.001312,9,2259.358872
47.54918,18,2269.818728
49.873874,10,2274.017314
48.945135,5,2275.600874
49.158497,5,2278.206475
51.378561,15,2283.62936
50.298427,8,2285.210327
48.279167,10,2291.530645
48.548405,5,2293.306258
49.950704,14,2295.416394
48.759009,9,2299.288448
49.988095,9,2304.341689
46.786965,19,2314.315903
50.772044,16,2319.443105
49.75,1,2320.35604
50.538302,8,2323.336585
47.074638,13,2332.941486
50.112146,4,2335.370653
48.6875,8,2338.219834
45.29058,18,2341.775874
48.593333,12,2343.564218
49.75,1,2344.566689
34.25,14,2344.598805
48.357186,14,2350.136253
49.060688,3,2351.267284
50.162289,6,2355.081717
49.787634,3,2355.705686
48.758065,14,2362.905864
49.737476,15,2368.741108
49.5,2,2371.057486
49.5,2,2373.000714
49.060606,8,2375.767685
46.55676,6,2378.660736
49.105691,5,2384.186686
49.806355,4,2386.24623
47.629747,16,2395.501505
47.70098,13,2403.696233
48.007246,10,2406.918882
44.0,7,2406.928884
50.088145,2,2407.770849
43.367417,24,2413.08508
48.289855,8,2417.772299
47.927207,7,2420.230771
49.467014,3,2422.289935
43.059062,16,2427.333205
49.75,1,2428.037174
47.125,17,2434.005994
48.817993,7,2437.67416
49.109496,8,2439.794319
46.230657,17,2445.604085
46.77025,14,2452.469966
48.114907,9,2456.810661
47.215217,13,2464.092499
46.2554,17,2472.841159
49.055556,6,2475.48965
30.0,11,2475.503653
48.833333,8,2478.526679
48.284665,3,2480.161186
46.545695,16,2485.119011
49.20045,5,2487.938217
50.073511,4,2490.374036
50.504181,12,2495.567561
50.090968,3,2496.540394
48.435102,5,2498.545947
48.072464,23,2506.609151
46.249336,14,2510.830904
51.378723,18,2513.483987
47.612717,24,2524.461034
49.515895,3,2525.195063
46.563028,12,2531.307228
37.75,7,2533.737654
49.251534,6,2537.089522
49.121426,4,2539.23986
50.386488,19,2547.044686
49.308642,4,2549.305269
50.0,2,2551.49168
48.038307,8,2556.798409
49.304217,7,2560.037277
49.133681,11,2566.487198
48.893558,4,2567.714036
50.292784,4,2569.532505
47.338379,11,2577.569403
47.5,3,2577.577396
50.384095,12,2581.306859
50.786259,13,2587.595859
50.202401,7,2590.546333
48.651294,6,2595.299731
48.523515,7,2597.700167
48.799454,5,2601.287024
49.08715,3,2602.748433
49.5,2,2604.216458
43.25,6,2604.289497
49.75,1,2605.491499
50.22018,6,2606.843593
49.401832,7,2610.028216
49.38786,10,2616.621561
47.483911,11,2623.387623
48.858902,10,2628.35654
46.523222,13,2635.359002
50.016925,7,2638.36592
47.366539,11,2642.114556
48.252415,9,2645.565487
50.485507,10,2646.610703
48.681034,7,2651.50224
45.214976,22,2661.500691
50.078907,2,2662.331587
49.035842,9,2664.300826
49.25,3,2666.69319
48.558233,14,2672.710952
50.289855,11,2678.168935
50.120425,11,2687.258696
48.810997,9,2690.473108
49.0,4,2693.02808
48.282382,8,2695.562066
50.053923,11,2700.690639
47.03043,13,2704.970589
48.930327,5,2706.798996
47.222335,12,2717.935065
49.5,2,2719.24216
50.195681,6,2722.247378
48.33,11,2725.657723
50.56801,14,2732.270749
48.271304,7,2734.918917
50.099673,3,2736.526253
48.313247,6,2740.047839
48.022265,13,2744.418207
50.041802,8,2745.342167
49.171368,4,2745.573716
48.62852,6,2748.700638
48.876087,5,2751.919879
48.864892,6,2755.251921
49.225421,12,2759.877427
50.033388,4,2761.863906
49.924399,6,2764.339019
50.0,1,2765.188252
50.039282,5,2767.476062
47.602846,10,2771.768605
48.153703,9,2776.154737
49.858171,11,2782.19429
49.5,2,2783.426321
49.691617,18,2790.173122
49.25,3,2793.237143
50.655371,9,2795.631166
46.583919,14,2806.234824
47.058836,14,2815.584712
48.881679,6,2819.779392
45.21418,14,2823.228946
50.0,4,2827.689412
49.440536,8,2830.366726
48.720302,7,2831.347167
49.460784,10,2837.482384
49.112873,4,2839.503892
52.126789,20,2845.274431
46.395618,11,2850.378599
48.282628,15,2855.580394
46.910145,13,2865.345596
49.100379,5,2868.197929
10.25,26,2868.327866
