time_s,timesteps,episode_steps,total_minutes,total_cost_gbp,success,stranded,soc_final,remaining_km,charge_events,termination_reason,violations_repeat,violations_overlimit,violations_cooldown
1757209709,84,84,13.750111856823267,0.2717391304347826,0,0,0.2872102192124613,5.241,1,time_limit,0,0,0
1757209717,168,84,13.750111856823267,0.2717391304347826,0,0,0.22184461541682918,18.204,1,time_limit,0,0,0
1757209717,170,2,20.0,0.0,1,0,0.333026555828417,0.0,0,success,0,0,0
1757209725,254,84,44.3755033557047,0.5434782608695652,0,0,0.17760914638740283,3.116973333333334,2,time_limit,0,0,0
1757209732,338,84,31.400357941834454,0.2717391304347826,0,0,0.2911437080206542,1.6079733333333335,1,time_limit,0,0,0
1757209737,395,57,24.500223713646534,0.2717391304347826,1,0,0.1482070348934808,0.0,1,success,0,0,0
1757209742,479,84,24.500223713646534,0.26086956521739124,0,0,0.24550658811714032,3.5829733333333333,1,time_limit,0,0,0
1757209748,563,84,14.500223713646534,0.26086956521739124,0,0,0.1670365927603773,1.79064,1,time_limit,0,0,0
1757209754,623,60,24.500223713646534,0.26086956521739124,1,0,0.22102317506678867,0.0,1,success,0,0,0
1757209761,707,84,14.500223713646534,0.2717391304347826,0,0,0.3584648624638038,5.75364,1,time_limit,0,0,0
1757209768,791,84,13.750111856823267,0.26086956521739124,0,0,0.32926581204124306,16.613,1,time_limit,0,0,0
1757209774,875,84,14.500223713646534,0.26086956521739124,0,0,0.22097861752225256,8.54964,1,time_limit,0,0,0
1757209781,939,64,34.500223713646534,0.26086956521739124,1,0,0.2266721507718136,0.0,1,success,0,0,0
1757209787,1006,67,24.500223713646534,0.26086956521739124,1,0,0.3278365708620937,0.0,1,success,0,0,0
1757209794,1090,84,15.400357941834454,0.2717391304347826,0,0,0.15959940807439413,1.89564,1,time_limit,0,0,0
1757209794,1091,1,16.0,0.0,1,0,0.12010218466065337,0.0,0,success,0,0,0
1757209801,1175,84,13.750111856823267,0.2717391304347826,0,0,0.3122228629776296,6.97,1,time_limit,0,0,0
1757209804,1213,38,30.2503355704698,0.26086956521739124,1,0,0.3066247968155397,0.0,1,success,0,0,0
1757209812,1297,84,14.500223713646534,0.2717391304347826,0,0,0.19945542141206626,1.43764,1,time_limit,0,0,0
1757209819,1381,84,14.500223713646534,0.2717391304347826,0,0,0.19523833943431243,8.71064,1,time_limit,0,0,0
