#{"t_start": 1757209695.3363712, "env_id": "None"}
r,l,t
-208.959245,84,14.207061
-208.959245,84,21.567807
50.0,2,21.973217
-202.955995,84,29.922157
-203.981748,84,37.221336
-86.459245,57,41.802324
-203.948375,84,47.410157
-206.448375,84,53.320846
-93.948375,60,58.677458
-206.459245,84,66.094659
-208.948375,84,72.850937
-206.448375,84,79.467126
-101.448375,64,85.617238
-111.448375,67,91.646225
-206.481748,84,98.628334
50.0,1,98.922964
-208.959245,84,105.844496
-38.967128,38,109.450882
-206.459245,84,116.591363
-206.459245,84,123.815886
-136.459245,78,130.829132
-108.959245,66,136.871399
-206.477998,84,144.188687
-206.459245,84,152.501931
-18.948375,30,155.402919
-206.459245,84,163.658404
-201.459245,84,171.014411
-208.977998,84,176.806228
-203.959245,84,182.468082
-206.459245,84,188.203504
-146.448375,81,193.773793
-206.459245,84,199.53092
-206.448375,84,205.232236
-55.455995,47,208.458978
-208.948375,84,214.0525
-143.959245,82,219.625684
1.022002,22,221.235541
-206.448375,84,226.834289
-208.959245,84,232.437232
-33.948375,38,235.185858
-58.948375,46,238.467659
-206.459245,84,244.113186
-203.959245,84,249.835951
-206.459245,84,255.421038
-200.445125,84,261.091651
-203.948375,84,266.772806
-208.948375,84,272.405133
-87.952627,59,276.451869
-208.948375,84,282.087056
-201.459245,84,287.764178
-121.459245,71,292.614674
-203.981748,84,298.361981
-28.948375,34,300.763123
-28.959245,34,303.127194
-206.448375,84,308.81474
-208.959245,84,314.434039
-201.448375,84,320.157077
-200.426373,84,326.032588
-206.448375,84,331.837656
-206.448375,84,337.582909
-203.959245,84,343.38101
-208.861419,84,349.105395
-208.948375,84,354.740617
-203.948375,84,360.466384
-208.967128,84,366.26149
-206.448375,84,371.850293
-18.959245,30,373.968408
-206.459245,84,379.664679
-206.448375,84,385.388375
-208.959245,84,391.059301
-206.459245,84,396.762295
-206.459245,84,402.307123
50.0,2,402.629666
-206.448375,84,408.447752
-206.459245,84,415.36964
16.022002,16,416.851309
-203.948375,84,423.51635
-208.948375,84,430.485287
-203.948375,84,436.890007
-206.448375,84,443.351362
-206.481748,84,450.068383
-206.448375,84,456.501029
-206.459245,84,463.030023
