time_s,timesteps,episode_steps,total_minutes,total_cost_gbp,success,stranded,soc_final,remaining_km,charge_events,termination_reason,violations_repeat,violations_overlimit,violations_cooldown
1757239778,34,34,44.500223713646534,0.26086956521739124,1,0,0.17529334390240234,0.0,1,success,0,0,0
1757239778,35,1,10.0,0.0,1,0,0.30200106214622685,0.0,0,success,0,0,0
1757239780,60,25,34.500223713646534,0.2717391304347826,1,0,0.18622886653603365,0.0,1,success,0,0,0
1757239785,144,84,49.00044742729307,0.5326086956521738,0,0,0.3084879718681643,5.798946666666668,2,time_limit,0,0,0
1757239786,158,14,34.500223713646534,0.26086956521739124,1,0,0.12668974788955317,0.0,1,success,0,0,0
1757239787,173,15,34.500223713646534,0.2717391304347826,1,0,0.16243818566701235,0.0,1,success,0,0,0
1757239789,195,22,34.500223713646534,0.2717391304347826,1,0,0.14797204187126303,0.0,1,success,0,0,0
1757239790,217,22,34.500223713646534,0.26086956521739124,1,0,0.16602940976382707,0.0,1,success,0,0,0
1757239790,218,1,16.0,0.0,1,0,0.14589910633984438,0.0,0,success,0,0,0
1757239795,302,84,15.250335570469801,0.26086956521739124,0,0,0.1868082362536055,11.820640000000001,1,time_limit,0,0,0
1757239797,320,18,30.2503355704698,0.26086956521739124,1,0,0.28547572347440686,0.0,1,success,0,0,0
1757239799,366,46,30.2503355704698,0.26086956521739124,1,0,0.23787559988538498,0.0,1,success,0,0,0
1757239801,384,18,74.62583892617451,0.8043478260869564,0,0,0.24537435497864254,1.6399466666666687,3,overlimit,0,1,0
1757239803,424,40,34.500223713646534,0.2717391304347826,1,0,0.14637487547229888,0.0,1,success,0,0,0
1757239804,433,9,24.500223713646534,0.26086956521739124,1,0,0.1332830525490963,0.0,1,success,0,0,0
1757239807,479,46,78.80071588366891,0.5326086956521738,1,0,0.15816524387499686,0.0,2,success,0,0,0
1757239808,502,23,34.500223713646534,0.2717391304347826,1,0,0.15104933609752486,0.0,1,success,0,0,0
1757239813,578,76,69.00044742729307,0.5434782608695652,1,0,0.16148077713566125,0.0,2,success,0,0,0
1757239815,601,23,34.500223713646534,0.26086956521739124,1,0,0.2858986639445428,0.0,1,success,0,0,0
1757239816,614,13,24.500223713646534,0.26086956521739124,1,0,0.18520835934674404,0.0,1,success,0,0,0
1757239816,621,7,34.500223713646534,0.26086956521739124,1,0,0.11081546871720374,0.0,1,success,0,0,0
1757239818,653,32,34.500223713646534,0.2717391304347826,1,0,0.25919849481275997,0.0,1,success,0,0,0
1757239819,668,15,24.500223713646534,0.2717391304347826,1,0,0.1420066664550132,0.0,1,success,0,0,0
1757239821,698,30,44.500223713646534,0.26086956521739124,1,0,0.12312901992838293,0.0,1,success,0,0,0
1757239822,706,8,24.500223713646534,0.2717391304347826,1,0,0.13952539620160004,0.0,1,success,0,0,0
1757239826,777,71,74.62583892617451,0.7934782608695651,0,0,0.3734386796209402,0.778946666666668,3,overlimit,0,1,0
1757239828,804,27,34.500223713646534,0.2717391304347826,1,0,0.23142327639693155,0.0,1,success,0,0,0
1757239830,835,31,24.500223713646534,0.2717391304347826,1,0,0.14990315872732218,0.0,1,success,0,0,0
1757239835,908,73,34.500223713646534,0.26086956521739124,1,0,0.11146755461790245,0.0,1,success,0,0,0
1757239838,957,49,93.00089485458614,0.7826086956521737,0,0,0.31027511882413267,0.958280000000002,3,overlimit,0,1,0
1757239838,965,8,24.500223713646534,0.2717391304347826,1,0,0.29277489077024615,0.0,1,success,0,0,0
1757239843,1036,71,82.75055928411633,0.8043478260869564,0,0,0.2081874335479056,0.8076133333333342,3,overlimit,0,1,0
1757239847,1111,75,93.00089485458614,0.8043478260869564,0,0,0.3175411034303864,4.81128,3,overlimit,0,1,0
1757239848,1113,2,20.0,0.0,1,0,0.13840573357585548,0.0,0,success,0,0,0
1757239849,1135,22,24.500223713646534,0.26086956521739124,1,0,0.31011105246700643,0.0,1,success,0,0,0
1757239851,1162,27,34.500223713646534,0.2717391304347826,1,0,0.19748023440176157,0.0,1,success,0,0,0
1757239855,1223,61,31.400357941834454,0.2717391304347826,1,0,0.30376375880498896,0.0,1,success,0,0,0
1757239857,1256,33,59.00044742729307,0.5326086956521738,1,0,0.1990416977336666,0.0,2,success,0,0,0
1757239857,1258,2,20.0,0.0,1,0,0.09888878179068923,0.0,0,success,0,0,0
1757239859,1280,22,24.500223713646534,0.2717391304347826,1,0,0.14109476610946825,0.0,1,success,0,0,0
1757239864,1364,84,48.2503355704698,0.5217391304347825,0,0,0.13147820479569144,4.358306666666667,2,time_limit,0,0,0
1757239865,1377,13,24.500223713646534,0.26086956521739124,1,0,0.14464406281488917,0.0,1,success,0,0,0
1757239869,1443,66,59.00044742729307,0.5326086956521738,1,0,0.1588045173057721,0.0,2,success,0,0,0
1757239873,1502,59,59.00044742729307,0.5326086956521738,1,0,0.17365242502651712,0.0,2,success,0,0,0
1757239876,1556,54,34.500223713646534,0.26086956521739124,1,0,0.15180378878463843,0.0,1,success,0,0,0
1757239878,1575,19,34.500223713646534,0.26086956521739124,1,0,0.24111938260933394,0.0,1,success,0,0,0
1757239881,1626,51,69.00044742729307,0.5326086956521738,1,0,0.1850165924244766,0.0,2,success,0,0,0
1757239883,1668,42,34.500223713646534,0.26086956521739124,1,0,0.13372002860913215,0.0,1,success,0,0,0
1757239888,1741,73,69.00044742729307,0.5326086956521738,1,0,0.09116264749759276,0.0,2,success,0,0,0
1757239890,1766,25,24.500223713646534,0.26086956521739124,1,0,0.24240076182996803,0.0,1,success,0,0,0
1757239891,1787,21,34.500223713646534,0.26086956521739124,1,0,0.22606094951488317,0.0,1,success,0,0,0
1757239895,1855,68,89.62583892617451,0.7934782608695651,0,0,0.31321519768514045,5.010280000000003,3,overlimit,0,1,0
1757239899,1907,52,89.62583892617451,0.7934782608695651,0,0,0.2763641580675973,0.36828000000000216,3,overlimit,0,1,0
1757239902,1955,48,34.500223713646534,0.26086956521739124,1,0,0.2757045447600789,0.0,1,success,0,0,0
1757239903,1970,15,34.500223713646534,0.26086956521739124,1,0,0.1637922461644257,0.0,1,success,0,0,0
1757239907,2030,60,34.500223713646534,0.2717391304347826,1,0,0.2457803650701298,0.0,1,success,0,0,0
1757239907,2036,6,24.500223713646534,0.2717391304347826,1,0,0.12548904288833612,0.0,1,success,0,0,0
1757239911,2093,57,59.00044742729307,0.5326086956521738,1,0,0.3084866575932159,0.0,2,success,0,0,0
1757239916,2177,84,48.2503355704698,0.5326086956521738,0,0,0.17477427750773064,6.539306666666668,2,time_limit,0,0,0
1757239921,2261,84,59.00044742729307,0.5217391304347825,0,0,0.2177443406660531,1.7002800000000027,2,time_limit,0,0,0
1757239923,2282,21,24.500223713646534,0.2717391304347826,1,0,0.20419517639966392,0.0,1,success,0,0,0
1757239927,2355,73,60.5006711409396,0.5326086956521738,1,0,0.1871684500405203,0.0,2,success,0,0,0
1757239929,2384,29,24.500223713646534,0.26086956521739124,1,0,0.2234477896435186,0.0,1,success,0,0,0
1757239932,2421,37,31.400357941834454,0.2717391304347826,1,0,0.30579828240924306,0.0,1,success,0,0,0
1757239935,2475,54,69.00044742729307,0.5217391304347825,1,0,0.15462353712870605,0.0,2,success,0,0,0
1757239938,2519,44,34.500223713646534,0.2717391304347826,1,0,0.21588076241182544,0.0,1,success,0,0,0
1757239940,2550,31,34.500223713646534,0.26086956521739124,1,0,0.15596764280159126,0.0,1,success,0,0,0
1757239942,2578,28,77.00089485458614,0.7934782608695651,0,0,0.2413708190558111,1.2859466666666677,3,overlimit,0,1,0
1757239942,2580,2,20.0,0.0,1,0,0.2535786192053899,0.0,0,success,0,0,0
1757239947,2658,78,34.500223713646534,0.26086956521739124,1,0,0.15503083081161095,0.0,1,success,0,0,0
1757239949,2689,31,44.500223713646534,0.2717391304347826,1,0,0.23057867703173998,0.0,1,success,0,0,0
1757239952,2735,46,34.500223713646534,0.26086956521739124,1,0,0.3233769988478705,0.0,1,success,0,0,0
1757239955,2782,47,30.2503355704698,0.2717391304347826,1,0,0.256282745804674,0.0,1,success,0,0,0
1757239960,2866,84,45.60053691275168,0.5217391304347825,0,0,0.15744823981864087,13.502973333333331,2,time_limit,0,0,0
1757239963,2904,38,77.00089485458614,0.8043478260869564,0,0,0.22795175324463862,5.602946666666668,3,overlimit,0,1,0
1757239963,2912,8,30.2503355704698,0.26086956521739124,1,0,0.24517863836706721,0.0,1,success,0,0,0
1757239965,2939,27,65.12561521252798,0.5217391304347825,1,0,0.12983107329496907,0.0,2,success,0,0,0
