#{"t_start": 1757239770.931797, "env_id": "None"}
r,l,t
-23.949401,34,7.281126
49.70256,1,7.487161
-4.22299,25,9.148191
-197.886065,84,14.463286
23.159239,14,15.436845
20.89473,15,16.489859
3.54641,22,17.969521
3.279839,22,19.421374
49.56984,1,19.629378
-206.475103,84,24.805429
10.572334,18,26.005701
-59.315826,46,28.88959
-52.439073,18,30.110033
-41.57203,40,32.642806
33.364519,9,33.351223
-51.812484,46,36.280435
0.97861,23,37.793107
-123.294661,76,42.554399
0.871399,23,44.081214
23.503239,13,45.001607
40.711319,7,45.562371
-21.70571,32,47.610797
18.32425,15,48.635293
-14.229361,30,50.589533
35.75537,8,51.213898
-184.928204,71,55.59132
-9.41283,27,57.375174
-21.54651,31,59.369205
-124.096441,73,63.961163
-127.836087,49,67.07054
35.92289,8,67.689767
-179.345309,71,72.136064
-192.857826,75,76.816553
49.8982,2,77.091344
0.780999,22,78.637414
-9.27819,27,80.412124
-96.990157,61,84.301152
-18.326431,33,86.469773
49.67368,2,86.743619
1.00101,22,88.244933
-200.385973,84,93.51614
23.124639,13,94.436803
-100.656271,66,98.577
-83.376351,59,102.248882
-76.731921,54,105.697318
10.619519,19,106.993546
-60.807671,51,110.206858
-46.934001,42,112.859933
-115.540311,73,117.440627
-6.791601,25,119.089892
5.660799,21,120.507913
-175.178204,68,124.837619
-135.178204,52,128.157022
-61.796961,48,131.206555
20.950119,15,132.277475
-91.56555,60,136.060693
40.83925,6,136.57036
-78.348631,57,140.168701
-200.396842,84,145.444669
-195.375195,84,150.69353
3.49009,21,152.107984
-121.140602,73,156.715796
-16.573201,29,158.607155
-37.041517,37,160.99186
-68.209562,54,164.416666
-51.64739,44,167.228353
-19.089961,31,169.252667
-77.546957,28,171.112938
49.50244,2,171.377034
-136.839441,78,176.343307
-16.60739,31,178.482979
-56.930161,46,181.444743
-61.767536,47,184.51945
-203.253483,84,189.753398
-102.557826,38,192.288897
35.651414,8,192.924408
-3.47878,27,194.735868
-33.206977,37,197.128612
-16.711161,30,199.081561
-20.071207,31,201.109781
-9.42023,28,202.960354
3.35957,22,204.432147
-51.63355,45,207.292478
-6.74439,25,208.931163
-14.567327,29,210.82397
49.61548,2,211.102538
-64.05015,50,214.297397
-167.535323,64,218.296542
49.71736,2,218.564814
20.617159,16,219.710741
41.026639,6,220.213983
25.91969,13,221.139774
-15.751722,32,223.205833
-109.928204,41,225.820107
20.640399,15,226.871224
13.516919,17,228.035264
-111.512524,69,232.352392
28.404479,11,233.190094
49.79052,1,233.396321
-195.375195,84,238.707176
-16.624201,29,240.662603
-4.316761,25,242.377074
-13.835722,30,244.478442
-9.760906,27,246.303323
-50.751111,48,249.395756
-39.126441,39,251.926407
35.209646,10,252.72752
49.93176,1,252.93857
12.928433,17,254.102717
-21.51227,32,256.199557
23.392596,14,257.192606
27.809123,12,258.071667
38.486559,7,258.626286
-46.693521,42,261.268636
25.837559,13,262.212854
-203.937598,84,267.35197
-43.314671,43,270.070252
-21.933761,32,272.267272
20.99141,14,273.412108
49.12748,2,273.683888
49.81104,1,273.893619
39.215259,10,274.649325
18.31649,16,275.751797
43.292159,5,276.197506
38.365377,7,276.757709
18.302279,16,277.862715
48.44977,3,278.182044
1.963249,25,279.810476
48.560999,4,280.188659
21.516838,16,281.307039
26.874449,15,282.362003
31.735129,13,283.317722
46.013719,5,283.766764
25.763656,12,284.63809
30.992239,11,285.458278
49.90608,1,285.664953
36.799489,12,286.544559
38.206283,7,287.111354
34.181249,12,288.000542
25.768679,13,288.915294
38.28945,7,289.472275
28.540839,12,290.327041
31.690598,14,291.363037
14.508438,20,292.709266
24.163118,17,293.898783
43.425119,5,294.337497
11.057039,19,295.617165
49.9242,1,295.823658
38.461639,8,296.452199
46.026319,5,296.897292
43.118399,5,297.3369
49.71368,1,297.536133
29.561539,13,298.483892
25.692479,13,299.396978
44.604809,7,299.957613
34.202569,14,300.978775
47.710824,4,301.378365
43.861318,7,301.960544
39.217918,10,302.713375
38.43537,7,303.384358
33.310799,10,304.166867
40.676353,6,304.673833
45.075433,5,305.144006
30.722574,10,305.903819
48.062904,3,306.237582
10.725719,19,307.5234
34.301849,12,308.426932
38.335719,7,308.984288
45.696654,4,309.364162
-51.845309,20,310.728692
21.843889,18,311.972599
40.77385,6,312.473944
23.117214,13,313.413079
45.710334,4,313.797578
38.287959,7,314.37023
43.28101,7,314.939304
48.319079,4,315.333251
43.366599,6,315.854907
28.279199,11,316.674613
33.353399,10,317.467055
45.953679,4,317.869143
29.147409,14,318.871675
-42.428204,14,319.862434
24.375329,17,321.039865
40.957646,7,321.61973
43.158879,6,322.126973
26.721689,15,323.175086
47.895984,4,323.653159
28.248639,12,324.583915
