#{"t_start": 1757184628.5442922, "env_id": "None"}
r,l,t
-64.276401,50,12.090438
6.775791,23,14.206563
1.027039,23,16.453732
-39.422001,39,19.81161
-0.645791,27,22.141269
30.872479,11,23.221023
-38.258181,39,27.030442
19.157299,18,28.777913
30.820806,10,29.797476
28.29429,12,30.878696
10.836719,19,32.725043
5.96505,21,34.852669
28.401239,11,35.997375
0.911559,22,38.00688
15.63589,17,39.843289
5.870159,20,41.913823
21.340747,16,43.570552
18.494759,16,45.17232
-21.889121,32,48.392358
-4.235641,25,50.910187
-2.923301,27,53.449214
-75.822631,58,58.662951
8.46481,20,60.555115
-6.234724,27,63.333463
38.331639,7,64.193853
49.91892,1,64.488382
8.215519,20,66.349945
-134.33444,53,70.07163
-0.744271,28,72.098014
-58.952482,48,77.286006
35.658199,10,78.637779
-18.116791,33,81.511668
-15.875351,33,83.947834
23.324918,15,85.119275
-4.397281,25,86.919209
20.775239,14,88.016174
35.86073,8,88.712176
13.246359,18,90.079432
-29.122001,35,92.55706
21.106276,16,93.843187
28.15905,12,94.834369
9.172806,20,96.339782
10.745479,18,97.697361
13.08741,18,99.071008
-35.596184,40,101.917891
-117.557826,44,105.019084
28.11901,13,106.047318
-1.49247,24,107.836317
-21.706961,32,110.214587
49.67112,1,110.451985
-68.112551,54,114.236058
-31.702441,35,116.754625
-19.24183,31,118.995524
-6.80435,29,121.157159
0.99145,23,122.8915
-6.59431,27,124.892216
45.74077,5,125.400349
-58.125551,49,128.832892
15.84429,16,130.043623
-9.18135,27,131.967369
-28.933975,36,134.506354
40.831399,6,135.071905
-2.913802,27,137.076123
18.326279,16,138.278452
-20.817722,34,140.703722
0.830319,22,142.380222
35.766879,9,143.153559
-6.871601,26,145.110855
19.265769,19,146.636626
18.262319,16,147.885839
28.228359,12,148.870712
-44.842026,42,151.918905
5.724669,21,153.529096
-8.689244,28,155.599491
38.21085,7,156.214052
28.53425,11,157.129586
43.158879,6,157.694304
49.65936,1,157.918449
-46.269524,43,160.979957
11.751209,21,162.581208
43.442279,5,163.066191
-6.455961,25,164.941575
23.50957,14,166.031312
16.03681,17,167.322409
-77.439073,28,169.37924
35.933399,8,170.062108
20.740319,14,171.15811
49.92564,1,171.381935
-35.841671,40,174.227199
23.222599,14,175.312232
-16.202152,32,177.702213
-10.424231,29,179.810133
45.57921,4,180.218041
-21.58319,32,182.509591
-15.864711,32,184.85408
-0.861231,26,186.763504
49.85064,1,186.981437
3.332519,22,188.609744
-29.098321,36,191.163818
-98.630688,65,195.718329
20.58369,15,196.89143
49.9008,1,197.127088
-34.354041,38,199.935244
49.6672,2,200.253375
8.336079,19,201.701251
25.70213,13,202.74815
-34.39539,38,205.507676
1.005766,24,207.305582
-35.838751,41,210.225423
-85.845061,61,214.612585
49.95108,1,214.852511
-9.36303,27,216.871581
35.466664,9,217.674841
-85.654471,60,221.85202
33.220294,9,222.614413
7.067129,22,224.323988
15.282603,17,225.631748
-15.552061,32,227.907811
-89.345309,35,230.413554
-75.046957,27,232.468462
-31.649801,37,235.106195
28.430319,12,236.076443
38.315479,8,236.78227
22.716344,14,237.894132
49.89744,1,238.129239
-21.678361,33,240.509091
39.428638,10,241.43213
43.48617,6,241.998415
30.94525,11,242.940805
-3.938964,26,244.886531
18.231079,15,246.071697
8.21809,20,247.641226
30.95281,11,248.574888
-36.50171,38,251.334169
-6.72859,27,253.330522
-16.83279,30,255.531293
-66.49827,49,258.962756
4.569769,23,260.652722
5.761959,21,262.229395
-6.679481,26,264.194263
8.14297,20,265.759362
23.114839,14,266.865492
28.11337,13,267.90651
39.018758,9,268.678517
38.401359,7,269.306769
23.452759,14,270.414167
28.069839,12,271.418897
35.166393,9,272.232987
-42.984551,43,275.439278
28.46445,12,276.41587
49.44884,1,276.673613
-45.046957,15,277.896764
10.78337,19,279.384519
15.97117,17,280.736231
23.44509,13,281.805405
40.56433,6,282.387296
49.54344,1,282.617596
35.696633,8,283.334581
-84.345309,33,285.788693
20.682519,15,286.991354
24.121289,17,288.34255
-114.345309,45,291.612707
31.005759,10,292.452043
20.902599,15,293.661987
-35.687711,40,296.66152
-86.551321,58,300.833746
-50.619431,46,304.136464
49.5786,1,304.374217
15.967719,16,305.622332
-30.592511,39,308.441815
-50.046957,17,309.754985
-132.221682,50,313.282442
-79.939073,29,315.379466
35.693439,9,316.138518
-20.796282,36,318.729065
18.151279,18,320.140418
-14.44447,30,322.318294
-33.167141,39,325.096782
-38.226871,43,328.284036
-16.759561,29,330.357579
35.792359,10,331.344817
-42.428204,14,332.496985
38.980463,9,333.270247
16.287836,18,334.650012
26.718089,15,335.819602
34.244849,12,336.780726
40.322134,7,337.439878
43.400799,6,338.020886
35.847399,9,338.780852
21.750009,17,340.078094
35.937159,9,340.842673
48.544159,3,341.217996
16.904318,20,342.718266
29.167689,14,343.808654
38.160199,8,344.505828
28.781886,13,345.570367
9.333209,23,347.289552
31.084958,12,348.285042
38.308039,8,349.045222
47.776206,4,349.492579
31.078625,12,350.485912
48.30497,4,350.927036
36.05061,9,351.705475
31.877158,13,352.750875
25.83269,13,353.792479
48.52837,3,354.168347
27.066889,14,355.274976
30.863217,10,356.115094
38.320719,7,356.730025
45.488913,4,357.160765
39.158929,10,358.005601
38.552987,9,358.791205
49.59,1,359.033128
-9.023721,27,361.104093
41.04017,7,361.740313
43.35465,6,362.338821
37.068089,10,363.229357
28.30821,12,364.218584
16.505136,19,365.748533
48.16837,3,366.111049
35.27781,9,366.881167
-42.156943,16,368.165332
41.996198,9,368.94169
33.460199,10,369.797553
37.952454,7,370.447478
38.31993,7,371.096604
42.967094,6,371.696481
38.180839,8,372.421459
29.569889,13,373.480267
39.345409,10,374.319565
40.93105,6,374.862656
48.290319,3,375.231574
40.891119,8,375.952397
43.12525,7,376.616434
45.770239,5,377.132921
40.90729,6,377.691612
-57.546957,20,379.233754
34.187289,13,380.314077
23.511319,14,381.478341
41.032665,8,382.204508
43.388679,6,382.78957
36.623219,11,383.705182
28.472999,11,384.598997
40.997519,7,385.2279
43.47409,7,385.890303
43.509999,6,386.464046
30.632599,11,387.372918
33.807783,12,388.36616
48.38069,4,388.790936
38.611838,9,389.570936
21.625489,18,390.958452
35.202753,9,391.737756
37.085369,10,392.607887
-30.012819,11,393.535632
14.535609,20,395.033542
31.841038,13,396.071462
18.10601,16,397.3185
34.525649,12,398.332345
-37.546957,12,399.34906
18.190534,15,400.57198
-50.057826,17,401.902922
48.143999,4,402.32767
48.458359,3,402.684475
35.733759,9,403.432551
28.529486,11,404.328584
31.013599,11,405.215523
28.482759,12,406.191612
40.61385,8,406.902441
39.129758,11,407.823199
17.087089,19,409.257056
43.478799,6,409.813642
18.132839,16,411.049982
13.639853,21,412.674522
48.319199,4,413.111858
28.810036,13,414.175375
43.09029,6,414.824026
34.093707,13,415.880841
40.82657,7,416.516373
48.52221,2,416.802917
25.727999,13,417.821467
40.643039,7,418.452091
43.394639,5,418.941545
-34.679447,12,419.957867
48.102483,3,420.323471
47.986824,4,420.775789
19.607369,18,422.170219
36.674169,11,423.104787
30.62005,11,423.99681
38.49765,7,424.619869
28.465559,11,425.503596
40.876079,7,426.138816
12.059129,21,427.736738
45.64837,5,428.233583
39.035152,10,429.128648
33.189239,10,429.973946
21.807129,17,431.316238
36.763038,11,432.22668
35.585359,10,433.056736
41.983655,9,433.820845
33.35729,10,434.670237
43.37837,5,435.182588
46.056919,5,435.694007
35.73693,9,436.48493
38.19613,8,437.198264
30.885479,12,438.206293
25.689839,13,439.316675
38.231639,9,440.118614
40.769279,7,440.828644
45.687719,6,441.424387
32.034289,13,442.473794
44.441649,8,443.187935
28.393316,14,444.328503
40.70645,7,444.974668
43.30601,5,445.475064
38.652545,9,446.255814
35.94321,9,447.104223
48.246719,4,447.544261
45.733399,5,448.036358
41.736089,9,448.81639
-37.546957,12,449.803111
23.10745,14,450.906061
-41.82357,16,452.195067
29.175369,14,453.350689
28.737358,13,454.412487
43.172799,6,454.986033
11.336442,20,456.519146
42.945014,5,457.015988
38.221946,7,457.647411
40.959946,7,458.268898
-39.928204,13,459.345999
48.36333,5,459.842112
41.224627,10,460.704245
35.67237,9,461.473184
29.182518,14,462.624236
49.59556,2,462.944574
45.893959,5,463.445661
33.10541,10,464.274905
43.519919,5,464.771831
43.399319,5,465.258633
45.877119,4,465.678805
13.438719,18,467.024082
38.473959,7,467.648433
36.272038,10,468.49753
36.734889,11,469.411125
33.48105,11,470.324028
6.730078,24,472.128824
43.306881,6,472.76561
49.81104,1,473.002024
45.917056,5,473.493351
48.12025,3,473.83657
31.880329,13,474.861301
40.358424,7,475.490844
32.053129,13,476.515382
21.962769,17,477.805278
40.645816,6,478.378744
24.492409,16,479.663496
40.666839,8,480.371669
17.055169,19,481.804683
40.535113,6,482.38124
45.623479,5,482.899295
14.437809,20,484.421168
43.22585,5,484.903693
41.795729,9,485.659423
36.747049,12,486.638492
16.342238,18,488.066385
19.139649,19,489.572289
30.59269,11,490.490144
33.17009,10,491.329222
33.560265,11,492.250554
30.66425,12,493.229929
38.206039,8,493.939655
45.79745,6,494.519775
33.539439,11,495.435928
46.045879,5,495.943999
45.684054,4,496.38871
36.195063,11,497.330661
41.02637,7,497.978855
43.18653,6,498.622601
49.72312,2,498.968027
33.170519,10,499.815866
46.288676,6,500.418711
40.964808,10,501.321478
16.665238,19,502.799421
18.879345,17,504.148729
38.384719,8,504.876068
30.670279,11,506.594154
42.810544,6,507.177708
43.491719,5,507.676537
40.59481,6,508.227826
28.350559,13,509.265428
43.358919,6,509.860578
21.690038,19,511.361323
43.287039,6,511.929174
38.22209,9,512.831891
49.8378,1,513.078649
34.540049,12,514.046868
38.892356,9,514.820564
21.013719,15,515.98475
29.426169,14,517.096399
43.543799,5,517.58966
49.79736,1,517.812176
38.200879,8,518.516275
40.84081,6,519.069859
35.595544,8,519.7671
40.93913,7,520.400524
43.20993,6,520.970978
45.840079,5,521.47367
43.201119,6,522.044595
42.935513,5,522.549057
40.797799,6,523.109175
25.56993,14,524.218359
26.187387,14,525.316083
40.566239,7,525.956179
21.752016,17,527.237005
39.191339,12,528.199634
40.944919,6,528.753999
28.133856,12,529.710565
34.394129,12,530.680023
38.243334,7,531.328443
29.132838,14,532.487848
-36.83444,14,533.594773
-39.33444,15,534.777491
41.276025,8,535.477007
29.199289,15,536.65626
14.541009,20,538.149301
44.341196,8,538.843922
43.515559,7,539.487866
-49.345309,19,540.937773
-45.035323,15,542.093518
31.325202,13,543.183747
31.682631,12,544.135767
36.717682,10,544.963106
43.48941,6,545.53551
40.61649,8,546.33795
38.424559,8,547.05275
45.63853,5,547.549986
26.425809,16,548.798993
40.945519,6,549.338643
26.689849,17,550.736815
48.483079,3,551.09249
40.729959,8,551.795613
49.65396,1,552.030261
31.793023,11,552.940353
48.18337,3,553.290519
-36.83444,14,554.388893
25.64081,13,555.428746
24.382918,16,556.670351
-56.845309,22,558.397404
41.720659,9,559.155958
29.596169,13,560.182869
14.269878,20,561.690083
45.93453,4,562.107301
28.559526,13,563.157861
