time_s,timesteps,episode_steps,total_minutes,total_cost_gbp,success,stranded,soc_final,remaining_km,charge_events
1756686211,13,0,0.0,0.0,0,0,0.1001,2.744,0
1756686213,33,0,0.0,0.0,0,0,0.0965,5.197,0
1756686219,42,0,0.0,0.0,0,0,0.0432,9.035,0
1756686219,61,0,0.0,0.0,0,0,0.1159,18.308,0
1756686227,93,0,0.0,0.0,0,0,0.0414,11.846,0
1756686230,118,0,0.0,0.0,0,0,0.11289999999999999,5.875,0
1756686232,126,0,0.0,0.0,0,0,0.11869999999999999,3.06,0
1756686235,129,0,0.0,0.0,0,0,0.1462,6.895,0
1756686239,160,0,0.0,0.0,0,0,0.11599999999999999,6.776,0
1756686246,177,0,0.0,0.0,0,0,0.0377,13.344,0
1756686254,236,0,0.0,0.0,0,0,0.07139999999999999,13.708,0
1756686260,268,0,0.0,0.0,0,0,0.11410000000000001,9.815,0
1756686266,300,0,0.0,0.0,0,0,0.0393,9.273,0
1756686273,309,0,0.0,0.0,0,0,0.0737,10.604,0
1756686276,327,0,0.0,0.0,0,0,0.06509999999999999,5.262,0
1756686282,342,0,0.0,0.0,0,0,0.11380000000000001,10.697,0
1756686284,366,0,0.0,0.0,0,0,0.113,3.671,0
1756686286,371,0,0.0,0.0,0,0,0.0929,4.152,0
1756686289,389,0,0.0,0.0,0,0,0.06280000000000001,3.586,0
1756686294,397,0,0.0,0.0,0,0,0.09210000000000002,10.114,0
1756686301,451,0,0.0,0.0,0,0,0.1079,10.627,0
1756686303,498,0,0.0,0.0,0,0,0.04650000000000001,5.972,0
1756686305,512,0,0.0,0.0,0,0,0.043899999999999995,1.774,0
1756686314,515,0,0.0,0.0,0,0,0.11359999999999999,18.489,0
1756686315,556,0,0.0,0.0,0,0,0.0947,1.704,0
1756686321,558,0,0.0,0.0,0,0,0.0978,14.37,0
1756686325,593,0,0.0,0.0,0,0,0.042699999999999995,7.7,0
1756686326,612,0,0.0,0.0,0,0,0.06280000000000001,4.301,0
1756686333,644,0,0.0,0.0,0,0,0.0748,18.056,0
1756686336,686,0,0.0,0.0,0,0,0.049800000000000004,6.197,0
1756686344,699,0,0.0,0.0,0,0,0.0461,18.063,0
1756686346,745,0,0.0,0.0,0,0,0.0661,5.131,0
1756686347,778,0,0.0,0.0,0,0,0.1199,0.423,0
1756686351,780,0,0.0,0.0,0,0,0.0816,10.92,0
1756686353,807,0,0.0,0.0,0,0,0.0373,3.783,0
1756686357,812,0,0.0,0.0,0,0,0.0712,8.233,0
1756686359,833,0,0.0,0.0,0,0,0.1805,5.37,0
1756686364,856,0,0.0,0.0,0,0,0.0681,12.004,0
1756686368,894,0,0.0,0.0,0,0,0.054000000000000006,7.178,0
1756686373,907,0,0.0,0.0,0,0,0.0726,9.915,0
1756686375,920,0,0.0,0.0,0,0,0.1182,4.123,0
1756686376,928,0,0.0,0.0,0,0,0.0434,2.912,0
1756686379,936,0,0.0,0.0,0,0,0.07780000000000001,6.098,0
1756686380,941,0,0.0,0.0,0,0,0.0458,2.88,0
1756686383,946,0,0.0,0.0,0,0,0.0677,9.016,0
1756686387,981,0,0.0,0.0,0,0,0.0783,9.047,0
1756686388,1018,0,0.0,0.0,0,0,0.087,2.472,0
1756686390,1032,0,0.0,0.0,0,0,0.1018,2.8,0
1756686393,1039,0,0.0,0.0,0,0,0.0587,7.249,0
1756686394,1070,0,0.0,0.0,0,0,0.0867,8.014,0
1756686397,1095,0,0.0,0.0,0,0,0.0404,3.93,0
1756686397,1108,0,0.0,0.0,0,0,0.0637,0.566,0
1756686399,1109,0,0.0,0.0,0,0,0.0926,4.82,0
1756686402,1140,0,0.0,0.0,0,0,0.1081,5.567,0
1756686405,1151,0,0.0,0.0,0,0,0.0962,10.388,0
1756686409,1178,0,0.0,0.0,0,0,0.049100000000000005,10.119,0
1756686416,1207,0,0.0,0.0,0,0,0.1359,19.915,0
1756686418,1245,0,0.0,0.0,0,0,0.0594,5.214,0
1756686422,1260,0,0.0,0.0,0,0,0.0381,8.084,0
1756686427,1283,0,0.0,0.0,0,0,0.033,11.975,0
1756686429,1310,0,0.0,0.0,0,0,0.1389,5.889,0
1756686430,1333,0,0.0,0.0,0,0,0.1116,2.224,0
1756686432,1339,0,0.0,0.0,0,0,0.1119,4.075,0
1756686436,1352,0,0.0,0.0,0,0,0.032799999999999996,10.088,0
1756686440,1399,0,0.0,0.0,0,0,0.0662,13.514,0
1756686443,1430,0,0.0,0.0,0,0,0.0547,5.535,0
1756686445,1454,0,0.0,0.0,0,0,0.1116,5.141,0
1756686446,1461,0,0.0,0.0,0,0,0.046,2.644,0
1756686451,1472,0,0.0,0.0,0,0,0.0825,11.713,0
1756686458,1522,0,0.0,0.0,0,0,0.0356,14.714,0
1756686459,1544,0,0.0,0.0,0,0,0.1076,5.858,0
1756686461,1554,0,0.0,0.0,0,0,0.0453,3.57,0
1756686463,1564,0,0.0,0.0,0,0,0.07690000000000001,5.889,0
1756686466,1574,0,0.0,0.0,0,0,0.0828,6.592,0
1756686467,1583,0,0.0,0.0,0,0,0.09609999999999999,3.68,0
1756686470,1592,0,0.0,0.0,0,0,0.08710000000000001,6.745,0
1756686472,1605,0,0.0,0.0,0,0,0.11410000000000001,7.836,0
1756686478,1646,0,0.0,0.0,0,0,0.0786,13.072,0
1756686480,1702,0,0.0,0.0,0,0,0.0953,3.689,0
1756686482,1720,0,0.0,0.0,0,0,0.0699,2.974,0
1756686488,1725,0,0.0,0.0,0,0,0.075,8.327,0
1756686495,1738,0,0.0,0.0,0,0,0.0643,10.48,0
1756686500,1771,0,0.0,0.0,0,0,0.0447,7.698,0
1756686504,1803,0,0.0,0.0,0,0,0.0787,4.874,0
1756686508,1824,0,0.0,0.0,0,0,0.06559999999999999,7.924,0
1756686511,1873,0,0.0,0.0,0,0,0.1027,4.283,0
1756686518,1880,0,0.0,0.0,0,0,0.1116,9.796,0
1756686521,1913,0,0.0,0.0,0,0,0.032,6.397,0
1756686525,1931,0,0.0,0.0,0,0,0.098,4.668,0
1756686533,1948,0,0.0,0.0,0,0,0.08839999999999999,12.169,0
1756686537,1980,0,0.0,0.0,0,0,0.11349999999999999,7.232,0
1756686544,1995,0,0.0,0.0,0,0,0.0371,9.593,0
1756686553,2016,0,0.0,0.0,0,0,0.031400000000000004,12.777,0
1756686559,2067,0,0.0,0.0,0,0,0.0999,11.857,0
1756686571,2092,0,0.0,0.0,0,0,0.0706,18.692,0
1756686574,2131,0,0.0,0.0,0,0,0.038599999999999995,5.383,0
1756686575,2152,0,0.0,0.0,0,0,0.052000000000000005,1.016,0
1756686577,2155,0,0.0,0.0,0,0,0.0828,5.609,0
1756686587,2165,0,0.0,0.0,0,0,0.06849999999999999,14.096,0
1756686592,2199,0,0.0,0.0,0,0,0.0751,7.798,0
1756686599,2222,0,0.0,0.0,0,0,0.0639,15.046,0
1756686601,2246,0,0.0,0.0,0,0,0.07780000000000001,5.633,0
1756686605,2273,0,0.0,0.0,0,0,0.22469999999999998,9.668,0
1756686607,2287,0,0.0,0.0,0,0,0.069,4.524,0
1756686608,2295,0,0.0,0.0,0,0,0.0902,2.89,0
1756686614,2301,0,0.0,0.0,0,0,0.061,11.392,0
1756686622,2314,0,0.0,0.0,0,0,0.0326,18.045,0
1756686624,2365,0,0.0,0.0,0,0,0.0874,3.569,0
1756686629,2373,0,0.0,0.0,0,0,0.1189,10.398,0
1756686634,2399,0,0.0,0.0,0,0,0.0401,10.778,0
1756686637,2417,0,0.0,0.0,0,0,0.0344,6.714,0
1756686641,2428,0,0.0,0.0,0,0,0.0582,7.026,0
1756686644,2443,0,0.0,0.0,0,0,0.07919999999999999,7.254,0
