#{"t_start": 1756686185.0871043, "env_id": "None"}
r,l,t
65.30033,13,25.149753
65.858434,20,26.805284
52.919139,9,28.735082
56.873859,19,34.445858
4.0,32,34.626848
117.488695,25,42.093465
54.184783,8,45.628204
51.089077,3,47.098004
64.685487,31,50.623848
57.843297,17,54.334018
112.233161,59,61.186007
73.630744,32,69.164191
66.364285,32,75.556823
52.492704,9,81.511371
71.929313,18,88.248416
79.265126,15,91.924417
70.510645,24,97.23302
52.409612,5,99.175508
64.606889,18,101.824812
66.533808,8,104.445782
102.821181,54,109.712678
137.153509,47,116.119221
61.272367,14,118.763694
51.576087,3,120.260047
59.818965,41,129.441537
51.656428,2,130.393582
66.054895,35,136.552582
61.702899,19,139.995502
75.527174,32,141.639153
71.186992,42,148.80371
56.424139,13,151.612327
80.060374,46,159.1212
73.319232,33,161.967302
50.706612,2,162.534323
71.635417,27,166.847691
51.231884,5,168.104651
62.586957,21,171.997029
76.423696,23,174.110011
86.860188,38,179.299248
56.822355,13,183.320003
72.649621,13,188.346578
54.021739,8,190.355912
57.047855,8,191.588041
56.478606,5,194.305859
52.050804,5,195.142381
96.721679,35,198.521436
196.389963,37,202.55634
95.858651,14,204.008038
54.375975,7,204.934257
91.839791,31,208.927158
7.0,25,209.004146
55.014317,13,212.516668
50.0,1,212.867241
61.037893,31,214.527629
54.229167,11,217.156474
73.797101,27,220.75949
71.496108,29,224.304541
70.729167,38,231.758811
61.667438,15,233.712521
62.711879,23,237.870013
88.240079,27,242.706494
67.833333,23,244.938182
56.022346,6,245.671472
59.406987,13,247.810242
77.492858,47,251.044112
67.227477,31,255.91714
61.304625,24,258.137992
53.432971,7,260.487986
58.552947,11,261.613441
84.059471,50,266.534024
61.518854,22,273.080985
52.776819,10,274.682832
57.263719,10,276.239762
60.305297,10,278.922515
56.384538,9,281.364975
53.915873,9,282.905273
54.983014,13,285.068119
85.40579,41,287.978027
87.464768,56,293.949339
107.911348,18,295.775449
53.307292,5,296.955486
58.242508,13,302.969656
64.144928,33,310.818238
87.581469,32,315.850705
61.756142,21,319.350923
130.031206,49,323.495033
57.024457,7,326.088248
82.740835,33,333.444978
59.220471,18,336.725577
61.233235,17,340.414974
71.952168,32,348.831783
60.336022,15,352.580367
74.179143,21,359.827124
104.823715,51,368.494635
64.272645,25,374.228724
78.41021,39,386.304792
63.764493,21,389.472487
52.20842,3,390.218518
56.293996,10,392.383929
89.863095,34,402.839317
55.649651,23,407.416083
61.615741,24,414.376259
67.016157,27,416.526837
55.484753,14,420.326717
55.311128,8,422.475786
52.524621,6,423.829443
63.112319,13,429.201665
85.852941,51,437.506832
52.905529,8,439.03914
63.662619,26,444.064386
63.957301,18,449.485485
53.889493,11,452.499622
58.4497,15,455.960674
52.346883,8,459.725292
74.398139,32,462.800039
63.708405,34,469.897096
78.461874,35,478.395905
59.996032,22,480.88454
56.507656,11,485.059457
59.791479,3,485.957001
56.861738,17,489.678589
50.016006,3,492.432738
56.824384,14,497.024021
66.421315,23,500.561816
62.222524,15,503.611454
82.527329,45,507.727716
53.009107,8,511.507023
78.361391,29,515.625761
51.582956,4,516.127796
68.405302,38,521.277882
76.125731,30,527.732315
64.655998,22,529.795557
65.465839,24,531.493795
51.245098,18,538.385622
73.003968,31,546.112191
55.1853,10,547.280102
50.73591,7,551.141357
52.71407,6,552.46484
84.473436,48,556.75148
52.553308,6,558.906086
55.379116,10,559.627731
55.398551,10,561.35952
63.949275,21,564.131519
58.920439,22,566.157579
74.074452,15,568.876396
115.705012,25,573.829169
57.581809,12,576.896762
27.5,13,576.916764
70.941057,14,578.584816
51.965526,5,581.075167
62.05176,23,583.29914
85.186071,45,591.954786
71.485507,38,599.262709
63.622549,21,601.040978
64.22428,18,605.860041
54.971154,8,606.904579
70.42585,33,610.121994
58.877709,22,614.036503
72.916218,29,620.167781
57.794637,10,624.794528
49.75,1,625.258558
56.360975,14,629.253454
67.334131,38,639.889566
74.395062,38,645.262486
52.833333,7,648.470839
55.230331,13,653.470648
55.262122,12,657.497983
115.315451,29,663.922136
68.049485,16,667.484153
70.289855,29,674.959342
76.287559,31,682.150403
62.865152,25,684.601566
53.697791,8,688.418292
57.566184,16,690.797464
59.850365,12,691.866426
60.61281,16,693.861905
59.987389,16,698.957491
78.697374,33,703.525532
63.411203,17,704.855557
68.002864,26,709.392395
55.135912,16,713.836994
133.855626,46,715.92231
46.599223,25,721.610571
61.677016,22,724.977165
68.206522,28,728.246375
76.517833,23,731.985835
64.0,18,737.204699
52.87808,17,741.956286
56.176515,8,742.807255
104.675545,23,745.964346
62.939578,12,746.739987
64.978003,12,747.501998
57.19731,15,751.831801
77.791667,47,759.564236
82.350069,45,766.345716
53.700831,13,769.360851
134.81706,14,770.456037
53.961116,12,774.363715
56.753431,17,777.392786
50.0,1,778.321789
50.770455,3,779.40031
50.155175,2,779.966348
43.75,4,780.928311
55.292184,8,784.775177
99.510684,37,789.642905
78.495421,21,790.958035
66.257934,22,794.041371
83.010597,30,800.515785
74.8723,31,804.23814
77.576826,32,808.259519
56.004115,16,809.988956
78.363071,21,813.909956
68.304557,19,819.430491
51.114247,3,820.299485
79.48894,8,821.358588
60.841264,19,823.070691
52.235178,6,825.578614
66.622692,14,828.817182
60.264793,19,832.975912
74.86661,41,839.654625
61.088708,20,843.299065
88.052311,22,848.528289
42.0,6,849.315318
78.218498,50,856.775592
54.177838,15,860.305479
78.509175,17,862.93946
61.407582,14,864.306427
52.192283,9,866.137791
64.598473,19,869.434782
64.419679,10,871.348627
68.795775,22,874.535937
59.654589,16,876.104063
51.673812,8,877.963095
57.036946,34,884.09346
57.527929,13,886.336063
54.973891,15,889.868953
124.706159,38,891.812867
61.375,17,894.144907
73.967742,28,900.415138
67.619985,25,903.821688
9.25,23,903.893684
68.053541,22,907.500731
53.811957,11,912.3471
51.986568,7,913.122067
58.487654,20,914.002824
58.957203,18,917.950732
64.575855,23,923.254912
64.161491,22,930.117128
55.046418,8,930.897128
60.596955,14,934.140471
52.163373,4,935.438509
57.205041,29,944.185532
79.394407,34,948.892186
76.593972,44,955.563833
73.800263,50,963.771288
67.935985,16,968.373365
55.375,8,969.807926
52.02451,13,972.681528
85.831125,48,981.833911
71.273409,22,985.057076
69.39554,25,988.994683
61.151399,18,990.639203
52.323283,5,991.812082
71.719979,30,995.38138
49.25,3,997.376546
61.012961,21,1000.743374
66.164181,24,1008.982601
55.859576,11,1010.880579
52.285628,9,1012.696554
76.296296,30,1017.029425
59.072356,12,1019.322186
61.508505,15,1024.738144
66.373057,20,1029.626168
50.464027,5,1031.67272
53.461713,17,1035.075479
58.467995,26,1041.789508
58.890474,20,1050.485756
60.33907,11,1052.94204
67.217356,24,1057.81253
59.65471,16,1061.911083
72.844203,34,1068.94227
50.404477,19,1074.167205
49.881336,9,1079.190281
61.751873,22,1084.284516
54.122356,8,1085.421807
64.396966,18,1087.976426
54.672738,8,1088.84688
52.49356,9,1090.556266
49.75,1,1091.566405
59.270833,15,1094.616064
62.51318,27,1098.24095
60.722555,12,1098.670216
57.495174,14,1101.684165
50.31383,3,1102.776341
57.977355,13,1104.549406
91.445946,58,1110.945735
70.913904,25,1115.382337
56.632021,18,1123.382138
53.806894,7,1125.801781
61.537881,15,1127.18269
62.165913,18,1129.777222
60.796405,12,1131.974416
56.94837,14,1136.423002
58.922473,12,1139.09155
67.773551,23,1144.265716
60.508813,16,1147.55939
65.405166,15,1148.718464
53.21254,11,1152.785801
55.875575,15,1155.4101
82.348671,34,1161.033683
71.62548,22,1166.937456
82.522671,20,1169.572889
87.481481,30,1173.988718
55.752657,12,1176.636841
57.326421,22,1180.394526
59.534523,20,1184.052846
54.071553,16,1188.180306
56.701288,24,1196.434054
52.677407,6,1197.683671
53.785573,9,1200.546297
56.474263,14,1203.108654
90.254357,27,1208.361873
149.455707,17,1211.87189
63.385515,25,1216.355272
57.04023,25,1220.287384
57.685342,6,1221.160344
65.118687,27,1225.342011
60.776347,12,1227.808772
59.764706,8,1229.184943
39.25,8,1229.194947
51.174403,2,1229.910981
59.104878,7,1231.478445
61.591389,42,1237.80724
55.742916,15,1239.816289
55.705529,9,1241.450877
57.641148,18,1244.451246
58.927443,26,1249.231143
63.9419,19,1253.119046
62.777973,12,1254.565053
58.214286,10,1256.052826
93.691034,29,1260.887593
70.350136,31,1264.225712
59.362426,9,1265.908219
80.625823,22,1267.64922
56.331975,12,1271.173242
62.427483,18,1275.464519
44.0,7,1275.520139
52.355843,8,1277.78684
58.713768,17,1280.701373
82.029334,37,1290.287888
53.7968,8,1293.097335
49.75,1,1293.376338
62.235772,10,1294.708191
53.422926,9,1301.249711
56.796302,13,1304.085504
51.377451,9,1307.34761
72.381004,31,1313.764266
49.5,2,1315.222485
55.163043,11,1317.701632
51.797842,11,1323.227079
51.273797,4,1325.828374
55.734888,16,1327.894115
82.421588,37,1334.359938
55.546881,14,1338.118652
53.533333,14,1341.184727
60.291667,25,1346.186062
61.907742,25,1350.265048
80.758772,41,1357.560205
65.307927,22,1360.886834
57.416445,10,1362.203631
52.914493,12,1364.195631
50.426014,9,1366.654827
58.620855,17,1370.094911
73.060244,8,1371.601906
51.069085,4,1372.488528
57.11534,13,1375.450047
62.209475,43,1381.725694
57.891544,18,1385.452892
50.992877,6,1388.177583
60.04321,16,1391.757221
53.919854,8,1394.548647
65.501938,29,1398.079666
71.506362,24,1401.816665
50.0,2,1402.892666
62.478261,22,1405.621407
76.236025,27,1410.636165
2.25,30,1410.662202
52.54004,11,1413.709455
57.935831,17,1415.80253
30.0,15,1415.814568
66.340367,25,1420.005698
50.720109,7,1423.66782
76.479469,25,1427.026539
65.743409,22,1430.182318
51.191094,2,1430.691316
74.996803,30,1437.013806
51.254529,4,1438.856191
50.0,1,1439.291187
62.837674,22,1443.194851
51.969559,9,1444.503892
50.686903,11,1447.261755
58.517302,25,1454.375552
90.032656,23,1456.341677
52.812661,8,1456.810637
76.02506,40,1462.073462
51.313511,10,1462.757195
57.58908,7,1464.131473
57.135591,11,1467.762507
52.07649,10,1471.020012
50.0,2,1472.756222
57.941189,11,1476.198257
57.683761,12,1480.239507
50.0,2,1481.141207
18.25,22,1481.20521
66.467836,16,1483.665296
52.757991,11,1486.183207
60.239253,15,1489.15771
53.016914,11,1490.432596
49.5,2,1491.439553
49.75,1,1491.956187
63.097701,16,1494.841072
50.325371,3,1496.054715
61.242107,18,1502.368454
45.331169,16,1505.251992
52.469817,6,1506.093997
53.296296,7,1508.510914
61.447942,14,1510.899464
49.5,2,1512.664813
60.375181,34,1518.74963
55.372549,9,1519.650636
50.0,1,1520.234638
55.309292,18,1525.202535
55.331498,17,1529.447058
111.775449,34,1532.252879
50.913113,7,1535.28731
57.339325,19,1540.955339
57.570281,15,1546.142113
58.482287,17,1551.397648
52.826228,5,1553.474125
70.211211,22,1557.588498
85.884087,23,1562.896205
71.554657,21,1564.135219
55.974725,19,1568.236467
50.0,1,1568.541456
65.963925,19,1574.640885
53.091667,21,1580.792236
58.197674,20,1582.030275
54.405779,7,1584.887366
51.992,4,1586.074922
51.006856,7,1589.400046
50.486111,5,1592.747999
122.117864,20,1599.488949
49.75,1,1600.70232
50.997283,9,1604.829319
50.984514,6,1606.976242
76.843897,33,1613.336973
64.319371,16,1617.31352
52.095291,9,1620.812302
49.5,2,1621.936301
58.516936,15,1625.205774
53.499568,5,1626.300761
58.832797,16,1630.53551
57.179357,8,1631.694466
52.148915,6,1633.520101
61.048487,10,1636.757598
79.999825,30,1642.077439
52.802469,17,1645.747682
59.301539,15,1649.622027
61.187002,9,1653.427551
53.484043,10,1658.216354
49.022257,8,1662.629804
54.122726,14,1667.338598
70.09792,34,1672.226067
69.801125,21,1675.539066
51.567072,12,1679.858215
50.955836,6,1682.589183
55.627911,10,1684.382454
54.311554,15,1688.527323
59.823232,20,1693.449959
80.474966,15,1698.955319
51.350603,8,1702.423669
51.569876,8,1705.661485
58.020833,20,1712.514211
70.186275,32,1720.771827
52.605381,12,1725.593622
56.574693,9,1728.164668
61.415153,26,1733.677091
67.557712,9,1736.880909
56.166667,18,1741.561545
54.695652,7,1743.048913
59.453687,17,1749.596766
52.071429,6,1751.355769
52.281346,8,1753.03057
50.999368,6,1754.898612
61.095034,14,1757.236203
58.686526,17,1760.887252
52.635965,7,1762.913504
88.33054,18,1766.202098
53.508578,9,1770.887072
50.205393,3,1771.96142
50.312925,3,1773.16639
55.994346,10,1776.705305
57.447917,15,1779.415585
61.465625,20,1781.742229
75.071828,25,1785.207789
71.765957,39,1793.509413
