#{"t_start": 1756737028.3027878, "env_id": "None"}
r,l,t
55.895955,8,4.831864
56.488933,5,4.908011
71.165048,20,4.992993
56.768051,9,5.065554
81.943761,19,5.152847
63.309048,10,5.228207
57.101449,6,5.30028
58.894132,5,5.371368
59.917472,10,5.44789
59.525301,9,5.522135
61.709947,10,5.601444
69.459635,15,5.682691
54.323774,6,5.756822
78.393773,28,5.857639
68.166208,11,5.932295
61.592259,13,6.013879
80.110865,16,6.093838
72.979628,17,6.176112
76.234596,13,6.255085
60.256346,6,6.326766
72.249245,15,6.405155
55.851946,8,6.479941
115.030757,26,6.568132
51.811594,2,6.635671
54.125485,16,6.713489
53.479211,4,6.786152
53.302392,9,6.858407
57.101449,6,6.928914
55.818841,5,7.005766
71.998369,24,7.093202
52.196547,4,7.163931
83.366351,31,7.25684
58.124564,8,7.332173
53.743133,3,7.404229
68.090842,15,7.483415
49.5,1,7.54977
122.681159,43,7.651817
96.861929,33,7.747232
57.188905,9,7.8229
57.946644,8,7.909369
66.410923,14,7.991833
50.0,1,8.060368
53.666743,3,8.128232
62.07226,10,8.204797
53.592284,6,8.277127
70.176233,16,8.36044
68.752114,16,8.440489
58.154378,7,8.515291
50.0,1,8.583026
71.071295,11,8.664575
51.949313,4,8.737414
52.480117,4,8.810652
66.597826,9,8.886467
56.35864,12,8.964477
78.70821,24,9.054357
91.374506,22,9.14418
55.721225,6,9.217478
67.770749,20,9.300563
63.300879,9,9.375378
51.96896,4,9.448061
71.01084,16,9.528384
87.492949,21,9.614279
54.188008,3,9.686321
50.0,1,9.754246
97.346191,34,9.848398
67.711076,17,9.927278
58.890705,10,10.00286
55.289855,5,10.081553
58.910878,7,10.152863
73.121218,14,10.231038
82.254319,25,10.31603
64.469456,17,10.397249
57.541185,7,10.471472
63.88123,12,10.549254
61.456537,9,10.620825
49.5,1,10.686416
51.226961,4,10.756059
50.30325,4,10.825731
57.492062,16,10.904058
54.785876,6,10.975051
50.982633,2,11.041461
51.442939,3,11.111999
52.246489,7,11.184562
58.205077,6,11.256195
53.373188,5,11.326313
74.889062,25,11.414894
57.028986,6,11.484405
100.284752,39,11.695042
60.880435,10,11.770145
52.457336,4,11.840639
82.166489,29,11.931147
68.361503,12,12.011097
66.373785,20,12.095732
84.716356,20,12.181492
75.848268,18,12.267466
86.013491,24,12.355634
63.679119,12,12.431679
52.20842,2,12.500686
54.416839,4,12.571801
91.725059,29,12.66401
58.530111,9,12.737874
65.530031,15,12.815502
55.227376,7,12.897231
58.872334,11,12.97173
60.705471,7,13.04686
55.935584,5,13.119668
76.449275,18,13.199025
83.258461,26,13.286405
49.5,1,13.352336
78.16616,23,13.437598
58.382236,9,13.513146
69.633046,21,13.592932
60.368187,12,13.671995
72.549533,22,13.754035
62.322628,9,13.826955
64.893574,18,13.90519
107.509662,30,13.996092
54.027755,6,14.069306
69.345756,12,14.144613
50.0,1,14.221013
76.947206,19,14.303725
60.17219,14,14.38303
78.268116,22,14.46877
55.721225,5,14.540548
55.516774,4,14.608768
51.216959,4,14.679446
52.178723,4,14.750333
