#{"t_start": 1756742815.8052583, "env_id": "None"}
r,l,t
49.105126,7,6.514626
106.521739,37,6.653046
56.458233,11,6.771756
54.139874,11,6.865501
49.0,1,6.952981
62.379397,19,7.071984
53.670387,8,7.182967
63.344529,18,7.302794
55.362478,16,7.403152
48.777405,4,7.498568
49.0,1,7.590555
58.749866,14,7.701361
92.12997,23,7.820611
50.815561,4,7.911479
50.585022,15,8.014333
48.728238,4,8.098129
54.592275,15,8.21714
53.091541,8,8.312443
62.83707,15,8.421415
58.258017,16,8.545973
65.639998,10,8.645504
64.772739,15,8.764342
52.120083,2,8.859443
86.85349,22,8.989002
60.250404,14,9.113703
71.492278,11,9.22953
55.916532,14,9.344478
54.770422,5,9.437155
48.0,2,9.524062
50.365085,5,9.642268
91.542867,23,9.782083
54.059243,11,9.917388
51.248704,5,10.045192
52.813695,6,10.165628
49.418294,5,10.274017
91.453335,21,10.415179
85.431159,29,10.561632
48.544227,5,10.671736
109.157151,33,10.83788
53.230832,3,10.966237
49.77204,9,11.104352
56.624799,6,11.222042
51.83869,8,11.33792
50.0,1,11.43794
59.368802,25,11.582234
61.929862,11,11.676123
59.209319,7,11.771053
65.220447,9,11.882759
76.486981,16,11.997482
55.655214,10,12.118268
72.636603,30,12.295684
87.603457,19,12.451024
48.0,2,12.563209
52.617921,9,12.681837
58.268224,22,12.811173
49.189171,9,12.907636
49.0,1,12.99839
58.399843,7,13.09646
50.484403,9,13.178649
51.212575,6,13.267962
54.212478,14,13.379372
68.943236,37,13.552451
69.114741,29,13.713994
50.0,2,13.802737
55.220993,13,13.906002
88.501987,22,14.009426
53.416577,10,14.113623
60.744767,8,14.217837
50.351178,9,14.333338
57.23068,9,14.448004
49.741454,24,14.552822
84.796634,23,14.673518
49.099145,32,14.789304
53.863965,9,14.891942
53.219803,7,14.993415
47.683677,33,15.106384
56.041588,8,15.204015
63.887161,11,15.285744
58.647479,12,15.365629
64.596309,12,15.570587
50.516895,8,15.647091
50.631213,6,15.724053
50.0,1,15.794184
49.680996,2,15.866897
52.927329,14,15.952408
54.273477,4,16.025813
51.567008,7,16.105746
59.493671,17,16.190658
55.502635,13,16.275378
50.905117,4,16.349202
57.369127,18,16.436568
56.972694,6,16.512291
53.925645,10,16.592232
49.015615,4,16.667845
47.587017,7,16.746693
52.874955,5,16.821801
52.238911,6,16.900586
49.0,1,16.969349
51.902032,7,17.051037
65.942029,11,17.13203
49.809607,8,17.20952
62.238801,9,17.288918
64.056361,10,17.367632
51.069255,3,17.44078
58.77414,5,17.514189
50.0,1,17.581954
46.554762,12,17.660605
58.23684,5,17.734845
76.656125,20,17.819847
53.1786,10,17.900113
56.579354,5,17.976837
59.886438,12,18.068026
51.190951,7,18.148873
51.973767,4,18.235023
104.282609,30,18.343084
52.881146,18,18.434793
56.972694,6,18.521289
51.675301,2,18.606274
56.827824,19,18.706424
62.337552,14,18.795707
50.416207,16,18.887151
57.565,16,18.973871
48.466556,4,19.052548
50.689727,8,19.145248
49.0,1,19.230115
56.600346,21,19.353243
116.04657,22,19.462612
51.964179,5,19.553781
47.182938,15,19.648585
48.248155,4,19.730049
54.041402,12,19.819331
61.210663,8,19.910216
55.125139,5,19.995221
74.000468,18,20.098054
50.410805,5,20.182861
72.955904,12,20.267218
57.632476,22,20.363364
63.683289,20,20.458738
51.841805,26,20.554993
68.665416,26,20.645981
51.999933,8,20.723904
49.0,1,20.798302
