#{"t_start": 1756745020.2257838, "env_id": "None"}
r,l,t
57.773304,9,4.892808
71.594505,20,4.993617
56.336741,8,5.079807
54.503735,5,5.158417
71.655994,16,5.241673
53.644928,4,5.335721
54.620819,7,5.427047
60.043192,10,5.548442
53.99486,4,5.616525
55.309749,8,5.693872
54.038075,5,5.763183
54.349357,6,5.837303
51.151676,2,5.905487
49.5,1,5.972113
56.926108,7,6.059386
58.110665,6,6.135806
53.067166,4,6.211919
53.464405,4,6.281116
52.942666,4,6.348822
52.148769,3,6.417129
55.379336,9,6.499017
78.097735,27,6.589799
51.547694,4,6.664294
60.434783,8,6.739276
52.678261,3,6.814676
80.494168,15,6.918056
63.468344,12,7.001186
102.297181,32,7.113053
58.759582,11,7.197085
57.182659,8,7.286779
60.495084,9,7.370747
48.5,3,7.442636
74.142292,16,7.538336
59.806763,9,7.6099
56.956522,6,7.678664
53.631619,4,7.746616
58.77961,7,7.816353
52.437597,5,7.890043
58.313247,6,7.95979
53.38379,5,8.027876
51.855533,3,8.096961
54.896422,7,8.170408
56.806317,6,8.239625
64.452983,9,8.311486
60.375081,9,8.388564
55.799955,11,8.465784
68.08724,15,8.554319
62.301094,8,8.629163
56.424503,8,8.709351
57.18363,11,8.784839
78.347826,18,8.863435
49.5,1,8.927819
49.0,2,8.994144
94.225881,26,9.077577
51.474834,4,9.150262
51.33913,4,9.221922
71.586917,27,9.310929
60.529972,8,9.383391
54.455027,4,9.452174
55.014493,5,9.525458
52.444266,4,9.594014
70.786349,12,9.6707
59.986294,12,9.741012
61.700483,9,9.810943
71.989192,14,9.891623
59.16807,7,9.96678
80.374929,15,10.043207
56.249374,8,10.135588
50.517636,7,10.205971
52.200641,5,10.274345
58.313247,6,10.345086
66.015188,13,10.422547
68.166667,10,10.497113
52.935968,6,10.5668
56.534464,4,10.634569
55.099744,5,10.705131
52.937483,5,10.77826
51.360265,2,10.845519
50.587952,4,10.915915
68.589822,12,10.986441
56.477753,6,11.058494
53.474714,7,11.130528
65.381883,14,11.207368
58.556081,17,11.287274
103.809254,46,11.392541
50.345347,2,11.462457
53.032964,3,11.532377
85.664792,22,11.616049
77.236822,26,11.699303
69.338921,11,11.77383
51.889668,4,11.841639
53.12325,7,11.91301
52.973474,3,11.986684
65.21315,11,12.060221
63.950226,14,12.139853
61.823485,11,12.215443
50.0,1,12.285545
59.702388,8,12.357218
56.834636,10,12.432265
77.377926,16,12.509888
52.144763,4,12.578544
53.473056,4,12.649708
64.223814,13,12.734261
66.018444,13,12.816608
51.193447,2,12.884573
68.153889,23,12.973356
52.971948,6,13.047252
54.17077,6,13.117028
68.953949,13,13.195896
49.547131,5,13.265771
53.164897,3,13.330955
56.648829,6,13.39997
63.918654,9,13.472436
61.99007,14,13.647222
52.993039,4,13.715497
51.412771,4,13.785508
50.693447,3,13.852471
59.33395,8,13.92469
51.844573,10,13.998906
75.104859,16,14.078588
59.390839,8,14.159803
58.477376,13,14.237599
56.991043,7,14.30738
60.124224,7,14.378356
64.854105,12,14.460604
58.596642,8,14.53475
52.88379,6,14.604551
59.874966,8,14.676636
71.729469,15,14.75402
56.296541,14,14.826382
50.0,1,14.888852
66.80878,12,14.964214
56.113943,5,15.033397
66.960663,10,15.106455
63.391304,13,15.187845
56.820232,11,15.27863
51.858569,3,15.347934
68.692264,11,15.425109
64.63053,14,15.505049
67.565575,14,15.577702
62.118471,7,15.649214
76.588385,12,15.725883
62.035299,10,15.796112
67.065575,15,15.86933
49.5,1,15.932835
49.0,2,15.997228
51.547694,4,16.06883
53.644928,4,16.139142
62.571277,16,16.223088
56.361374,9,16.293201
51.207704,2,16.362829
