#{"t_start": 1756830152.9279933, "env_id": "None"}
r,l,t
55.708679,60,9.071762
50.960919,60,9.360568
54.761273,60,9.630031
76.563494,60,9.855424
63.910649,60,10.098963
76.543478,60,10.337445
46.335694,60,10.565937
62.40818,60,10.764125
108.926331,54,10.940512
44.477992,60,11.153325
61.533049,60,11.422688
50.842922,60,11.694401
84.038812,60,11.950572
37.223241,60,12.209091
57.579311,60,12.448552
86.831191,33,12.627884
46.109243,60,12.853403
71.09149,60,13.087955
86.152645,60,13.334919
66.593442,60,13.586103
27.281318,60,13.87349
62.6495,60,14.142202
48.049271,60,14.419082
76.521739,60,14.652724
84.817391,37,14.835702
100.097561,33,15.027344
-6.816177,60,15.333151
91.035834,60,15.626359
35.68252,60,15.892732
55.733717,60,16.171538
82.211492,60,16.435992
45.225363,60,16.665929
92.545455,60,16.917131
68.647343,60,17.160162
123.043478,59,17.420032
77.175743,32,17.58806
105.604198,50,18.003984
50.647418,60,18.244325
85.210781,60,18.4605
62.17938,60,18.677387
77.932367,60,18.872942
93.20923,58,19.081726
66.496424,18,19.223914
99.106168,60,19.498319
86.459009,60,19.776232
37.799732,60,20.045933
13.005271,60,20.323323
105.789411,60,20.575559
48.183774,60,20.858616
78.3447,60,21.134317
89.093168,60,21.414655
72.572672,35,21.65254
58.859546,60,21.942417
92.663751,60,22.219176
53.396025,60,22.468346
61.889099,60,22.737228
28.946021,60,22.981787
98.981734,60,23.242228
106.263676,51,23.486363
83.574879,60,23.715828
67.77385,60,23.955523
91.540063,41,24.159491
69.914338,60,24.427553
78.560386,60,24.708648
89.955785,60,24.958562
110.565144,52,25.213914
96.62338,60,25.496968
50.286763,60,25.733792
27.586114,60,25.961971
29.541454,60,26.193447
97.680651,60,26.45089
76.310874,60,26.709945
104.697292,56,27.109387
36.77964,60,27.367264
126.235419,41,27.596598
96.895141,60,27.858622
58.812226,60,28.109289
69.323181,18,28.235628
35.99277,60,28.461
87.484705,60,28.717943
95.344273,45,28.897093
65.083685,34,29.099107
69.701115,60,29.41408
29.696284,60,29.724582
53.954301,60,29.999955
64.288324,36,30.214211
91.428536,35,30.454019
95.663989,42,30.706884
45.225363,60,31.004294
94.545836,60,31.269857
98.26274,60,31.57323
49.478994,60,31.861373
66.367368,12,32.00616
81.136797,60,32.268084
57.610037,60,32.516115
78.271779,60,32.764786
109.595331,55,33.053077
77.619106,60,33.338661
18.790446,60,33.656422
101.087728,60,33.958496
69.474308,60,34.248702
99.298437,51,34.495379
65.329545,60,34.76196
68.262301,60,35.044916
95.109957,37,35.255008
43.428678,60,35.517114
59.579215,60,35.782331
54.256544,60,36.108169
113.723694,60,36.448871
68.262301,60,36.785212
106.968143,51,37.201679
81.448161,60,37.458414
120.628331,60,37.735593
56.3185,60,38.024397
91.902543,56,38.283191
64.987448,60,38.554998
79.672339,60,38.819599
91.47271,60,39.068994
39.814647,60,39.334339
115.063939,60,39.61088
86.395722,60,39.873877
33.994241,60,40.133088
70.714017,60,40.39182
99.217391,60,40.654929
90.062315,45,40.875704
79.089109,60,41.145525
26.127133,60,41.403405
76.374743,60,41.674781
78.560386,60,41.960961
15.819205,60,42.224657
114.901186,39,42.474338
77.320388,60,42.784189
105.975012,60,43.101224
103.884058,60,43.398538
67.864252,60,43.691405
38.445732,60,43.982125
96.567799,58,44.270062
89.61781,60,44.562628
52.917031,60,44.853305
60.073776,60,45.155329
123.608404,60,45.469417
124.965408,60,45.76969
84.247094,60,46.067543
74.403695,60,46.368744
110.966073,42,46.599485
46.546876,60,47.000347
55.144659,60,47.254476
89.300725,60,47.498502
45.955484,60,47.708094
49.132867,60,47.925387
69.700152,18,48.062536
108.168643,60,48.270054
60.758694,60,48.484631
105.197452,60,48.759812
85.272914,52,49.016307
88.842246,29,49.203231
58.858113,7,49.327282
88.719868,56,49.587998
85.966423,60,49.879755
53.307424,60,50.171862
62.970419,60,50.444874
88.644771,60,50.726679
111.085896,60,51.023126
70.309433,60,51.317848
68.8649,60,51.614206
59.012263,60,51.909314
74.782609,60,52.19634
61.579051,10,52.354195
130.044796,49,52.623143
49.066388,60,52.883087
32.694312,60,53.19657
3.216136,60,53.45791
49.413857,60,53.722879
89.835192,60,54.000014
61.217606,60,54.22772
41.374743,60,54.49071
77.678594,60,54.784964
58.453051,60,55.063105
33.562248,60,55.324285
67.391304,15,55.47271
39.823118,60,55.721648
99.750351,60,55.990698
97.453759,60,56.261721
73.619071,60,56.880149
82.059542,60,57.201808
104.455696,60,57.514975
93.660657,60,57.73949
49.578219,60,57.989972
79.51825,60,58.267142
65.052599,60,58.520954
15.481233,60,58.770132
98.682641,55,58.990533
33.196183,60,59.250248
55.733717,60,59.511925
51.208185,60,59.773636
45.857248,60,60.023188
81.579373,60,60.294269
63.73842,60,60.567383
60.890881,60,60.833209
57.36395,60,61.13199
90.248952,60,61.433955
55.187237,60,61.714214
75.166836,60,61.987289
37.41302,60,62.243268
106.610122,60,62.514293
18.525408,60,62.778651
58.812226,60,63.058318
84.612162,39,63.312976
67.178026,31,63.544717
100.517931,28,63.729904
57.208076,60,64.016887
47.655366,60,64.325626
51.36916,6,64.473234
25.840636,60,64.765845
47.214902,60,65.071573
70.003221,60,65.37991
87.60932,60,65.711201
53.565217,60,66.011556
26.607616,60,66.358649
60.393195,14,66.55778
53.405961,60,66.901667
60.760704,60,67.409148
41.374743,60,67.694279
66.758172,60,68.006281
79.483921,20,68.193698
129.785953,57,68.500622
54.446431,60,68.817981
71.304348,60,69.098312
64.666667,60,69.39344
67.576592,60,69.684576
56.921189,43,69.913293
96.785371,48,70.161092
28.925326,60,70.453069
64.505229,60,70.750939
50.842922,60,71.025535
112.187237,58,71.297953
85.148457,60,71.56529
77.046555,60,71.844835
56.331994,60,72.118857
-14.881175,60,72.38449
27.187992,60,72.660789
86.207847,60,72.952568
98.069291,56,73.233532
78.713131,60,73.510139
14.740358,60,73.795675
68.732828,60,74.077901
82.363022,60,74.332597
60.049799,60,74.577776
98.500215,60,74.857505
21.975808,60,75.132911
23.269263,60,75.406153
94.63216,60,75.715536
26.429617,60,76.027891
101.568959,60,76.34216
62.124765,60,76.642844
44.668621,60,76.945507
78.365942,60,77.408933
104.376442,60,77.732454
80.516749,60,78.029183
132.788097,53,78.287701
93.913043,60,78.590666
53.217313,60,78.903921
84.878869,42,79.147836
73.51376,60,79.455408
18.753983,60,79.761448
103.884058,60,80.051722
35.707903,60,80.354667
46.714017,60,80.63091
78.072902,60,80.905806
98.688365,60,81.189259
126.42168,60,81.464393
126.032098,60,81.746693
72.581242,60,82.017998
90.471371,60,82.287471
81.106648,60,82.577715
48.083755,60,82.877532
136.31547,60,83.163105
73.619071,60,83.431921
52.13434,4,83.588296
64.97575,60,83.909303
36.606551,60,84.216671
107.815616,50,84.48405
81.836842,60,84.757523
132.754449,58,85.029584
