#{"t_start": 1756937286.6822786, "env_id": "None"}
r,l,t
-146.04675,57,8.205342
-50.929806,17,9.372818
-95.400184,35,11.533933
-96.00762,36,13.774389
-53.461053,19,15.040636
-101.00762,38,17.489742
-53.533557,18,18.719573
-42.900184,14,19.67935
-73.711053,27,21.416259
-85.971923,32,23.449187
-108.461053,41,25.974224
-99.011053,38,28.362318
-61.500184,23,29.88522
-120.400184,45,32.690539
-50.971923,18,33.900374
-95.961053,36,36.179271
-54.83769,17,37.339563
-115.411053,43,40.015872
-52.921923,18,41.222354
-53.55762,20,42.545077
-77.900184,28,44.351678
-92.911053,34,46.539201
-68.461053,25,48.208024
-43.513496,14,49.242017
-123.568489,48,52.248499
-30.99675,10,53.004952
-88.450184,33,55.118145
-71.00762,26,56.816378
-47.911053,16,57.921064
-35.648559,10,58.676325
-93.50762,35,60.876984
-70.950184,26,62.543347
-108.54675,42,65.169775
-48.409794,17,66.323422
-63.568489,24,67.917943
-77.921923,28,69.745335
-98.49675,37,72.082445
-137.061053,54,75.536627
-48.568489,18,76.839315
-62.45606,20,78.278499
-88.50762,33,80.424343
-30.81693,8,81.069737
-150.950184,58,84.748662
-141.04675,55,88.396155
-73.576373,28,90.478478
-62.45606,20,92.003183
-47.911053,16,93.228902
-53.50762,19,94.501874
-130.400184,49,97.547288
-77.683557,27,99.318457
-133.55762,52,102.669163
-70.411053,25,104.362696
-43.461053,15,105.464401
-95.99675,36,108.143589
-80.400184,29,110.948475
-76.04675,29,113.362648
-52.911053,18,114.818769
-43.54675,16,116.152079
-55.971923,20,117.748744
-151.05762,59,121.833296
-39.95606,11,122.703407
-71.10762,28,124.68789
-49.061053,17,125.975874
-113.49675,43,128.932019
-48.49675,17,130.311668
-45.400184,15,131.427702
-86.09675,34,133.82111
-102.911053,38,136.428434
-42.921923,14,137.485961
-63.450184,23,139.067955
-93.518489,35,141.441999
-39.83769,11,142.325715
-70.725011,26,144.119061
-71.65606,25,145.878433
-41.05762,15,147.042475
-96.00762,36,149.55413
-95.961053,36,152.02012
-94.011053,36,154.687093
-48.30606,15,155.800925
-93.450184,35,158.207717
-163.50762,63,162.283132
-112.911053,42,165.061508
-66.511053,25,166.924593
-127.911053,48,170.172092
-31.448559,9,170.942162
-62.921923,22,172.466146
-100.421923,37,174.961279
-140.411053,53,178.426412
-94.561053,37,180.959913
-108.568489,42,183.687994
-88.502627,32,185.909109
-63.211053,22,187.51754
13.11834,18,188.812381
-81.068489,31,190.969986
-60.411053,21,194.525593
-67.911053,24,198.662115
-53.49675,19,200.631143
-121.04675,47,203.707828
-35.400184,11,204.589288
-43.530123,15,205.721023
-95.961053,36,208.15192
-34.561053,13,209.165013
-50.421923,17,210.448072
-95.400184,35,212.890846
-75.421923,27,214.89431
-78.221923,28,217.043728
-108.461053,41,219.971988
-54.945191,17,221.264136
-186.05762,73,226.06757
-65.421923,23,227.776516
