#{"t_start": 1757069680.7451336, "env_id": "None"}
r,l,t
-63.948375,50,6.934143
6.775791,23,8.422338
1.027039,23,9.876435
-38.948375,39,12.233161
-0.645791,27,13.927666
31.051625,11,14.687519
-38.258181,39,17.044086
19.157299,18,18.235042
30.820806,10,18.932618
28.29429,12,19.751532
10.836719,19,20.980616
5.96505,21,22.328198
28.401239,11,23.076573
0.911559,22,24.443033
15.63589,17,25.52191
5.870159,20,26.801723
21.340747,16,27.89051
18.494759,16,28.94505
-21.889121,32,30.882332
-3.948375,25,32.427168
-2.923301,27,34.109655
-75.822631,58,37.548375
8.46481,20,38.808152
-5.452627,27,40.495706
38.551625,7,41.019455
50.0,1,41.200658
8.215519,20,42.46048
-134.355995,53,45.60854
-0.744271,28,47.357812
-58.952482,48,50.267437
36.051625,10,50.98626
-18.116791,33,53.030836
-15.40762,33,55.036256
23.595103,15,56.024194
-3.948375,25,57.575504
20.775239,14,58.513867
36.040755,8,59.093694
13.246359,18,60.248897
-28.948375,35,62.363029
21.106276,16,63.445366
28.540755,12,64.290671
9.172806,20,65.599427
10.745479,18,66.738262
13.540755,18,67.888376
-35.426373,40,70.295587
-117.557826,44,72.936069
28.11901,13,73.813106
-1.459245,24,75.312381
-21.706961,32,77.273238
49.67112,1,77.47087
-67.90762,54,80.715767
-31.702441,35,82.823833
-19.24183,31,84.710109
-6.459245,29,86.49997
0.99145,23,87.933302
-6.459245,27,89.602093
45.74077,5,90.027754
-57.90762,49,92.925539
15.84429,16,93.956507
-8.959245,27,95.600704
-28.933975,36,97.77154
41.051625,6,98.279639
-2.913802,27,99.923157
18.551625,16,100.948463
-20.39675,34,103.004963
0.830319,22,104.3658
36.051625,9,105.002816
-6.871601,26,106.598469
19.265769,19,107.827183
18.262319,16,108.895563
28.551625,12,109.736734
-44.842026,42,112.26755
6.187494,21,113.593019
-8.689244,28,115.343019
38.540755,7,115.876351
28.540755,11,116.630692
43.158879,6,117.101347
49.65936,1,117.287452
-46.269524,43,119.876047
11.751209,21,121.205693
43.551625,5,121.609455
-6.455961,25,123.139028
23.50957,14,124.083008
16.03681,17,125.187719
-77.439073,28,126.919229
35.933399,8,127.496358
20.740319,14,128.419409
49.92564,1,128.608942
-35.841671,40,131.023823
23.551625,14,131.943747
-15.441757,32,133.903822
-10.424231,29,135.716626
45.57921,4,136.068003
-21.459245,32,138.035048
-15.864711,32,139.992659
-0.861231,26,141.599612
50.0,1,141.797706
3.551625,22,143.181398
-29.098321,36,145.368168
-97.919254,65,149.197224
20.58369,15,150.184168
49.9008,1,150.386612
-34.354041,38,152.690234
49.6672,2,152.956199
8.336079,19,154.171743
25.70213,13,155.055848
-34.39539,38,157.364929
1.005766,24,158.892827
-35.40762,41,161.40011
-85.845061,61,164.996317
50.0,1,165.219541
-8.959245,27,166.896667
36.022002,9,167.564442
-85.654471,60,171.166636
