#{"t_start": 1757104216.3289342, "env_id": "None"}
r,l,t
-63.948375,50,6.903172
6.775791,23,8.370168
1.027039,23,9.870471
-38.948375,39,12.294452
-0.645791,27,14.012158
31.051625,11,14.774127
-38.258181,39,17.111226
19.157299,18,18.259879
30.820806,10,18.94962
28.29429,12,19.782411
10.836719,19,21.023975
5.96505,21,22.385895
28.401239,11,23.118991
0.911559,22,24.508005
15.63589,17,25.675341
5.870159,20,26.977418
21.340747,16,28.059634
18.494759,16,29.132235
-21.889121,32,31.12078
-3.948375,25,32.736398
-2.923301,27,34.467161
-75.822631,58,37.941482
8.46481,20,39.248128
-5.452627,27,40.982508
38.551625,7,41.513752
50.0,1,41.707733
8.215519,20,43.008085
-134.355995,53,46.197939
-0.744271,28,47.971365
-58.952482,48,50.884453
36.051625,10,51.640883
-18.116791,33,53.703166
-15.40762,33,55.739347
23.595103,15,56.791686
-3.948375,25,58.403089
20.775239,14,59.345443
36.040755,8,59.931546
13.246359,18,61.104699
-28.948375,35,63.268457
21.106276,16,64.345107
28.540755,12,65.185515
9.172806,20,66.496839
10.745479,18,67.663715
13.540755,18,68.846515
-35.426373,40,71.293419
-117.557826,44,73.993048
28.11901,13,74.885825
-1.459245,24,76.418581
-21.706961,32,78.430527
49.67112,1,78.630096
-67.90762,54,81.908021
-31.702441,35,84.060854
-19.24183,31,86.003344
-6.459245,29,87.875243
0.99145,23,89.360143
-6.459245,27,91.100102
45.74077,5,91.529437
-57.90762,49,94.475675
15.84429,16,95.516486
-8.959245,27,97.215883
-28.933975,36,99.458417
41.051625,6,99.939605
-2.913802,27,101.621942
18.551625,16,102.671918
-20.39675,34,104.779001
0.830319,22,106.166367
36.051625,9,106.817988
-6.871601,26,108.461679
19.265769,19,109.729115
18.262319,16,110.783315
28.551625,12,111.649823
-44.842026,42,114.21916
6.187494,21,115.616656
-8.689244,28,117.391253
38.540755,7,117.918231
28.540755,11,118.670379
43.158879,6,119.150097
49.65936,1,119.336567
-46.269524,43,121.93971
11.751209,21,123.286783
43.551625,5,123.707856
-6.455961,25,125.27905
23.50957,14,126.222877
16.03681,17,127.354106
-77.439073,28,129.132608
35.933399,8,129.715045
20.740319,14,130.635297
49.92564,1,130.827617
-35.841671,40,133.279332
23.551625,14,134.226375
-15.441757,32,136.238472
-10.424231,29,138.061681
45.57921,4,138.415634
-21.459245,32,140.397524
-15.864711,32,142.419469
-0.861231,26,144.072083
50.0,1,144.261984
3.551625,22,145.721154
-29.098321,36,147.960913
-97.919254,65,151.817355
20.58369,15,152.82132
49.9008,1,153.029952
-34.354041,38,155.365467
49.6672,2,155.631375
8.336079,19,156.862193
25.70213,13,157.74842
-34.39539,38,160.102019
1.005766,24,161.66414
-35.40762,41,164.158543
-85.845061,61,167.8084
50.0,1,168.000129
-8.959245,27,169.704598
36.022002,9,170.383984
-85.654471,60,173.987549
33.220294,9,174.641632
7.09238,22,176.102396
15.282603,17,177.223605
-15.418489,32,179.224989
-89.345309,35,181.400487
-74.423505,27,183.110779
-31.448375,37,185.391962
28.430319,12,186.222234
38.315479,8,186.831082
23.522002,14,187.777782
49.89744,1,187.978669
-21.448375,33,190.025374
39.428638,10,190.751644
43.48617,6,191.233665
31.040755,11,191.989921
-3.938964,26,193.683984
18.551625,15,194.679437
8.540755,20,195.978013
31.040755,11,196.763899
-36.459245,38,199.115097
-6.459245,27,200.835976
-16.83279,30,202.779438
-66.49827,49,205.752867
4.59238,23,207.221795
5.761959,21,208.582754
-6.679481,26,210.26115
8.540755,20,211.578881
23.551625,14,212.546755
28.540755,13,213.449153
39.018758,9,214.111634
38.401359,7,214.65339
23.452759,14,215.601001
28.069839,12,216.444026
36.029121,9,217.105649
-42.984551,43,219.689476
28.46445,12,220.50132
49.44884,1,220.708254
-44.423505,15,221.725607
10.78337,19,222.958158
16.040755,17,224.071342
23.44509,13,224.956607
40.56433,6,225.427159
49.54344,1,225.61679
35.696633,8,226.209929
-84.366865,33,228.293927
20.682519,15,229.288534
24.59238,17,230.42031
-114.345309,45,233.153523
31.051625,10,233.850929
20.902599,15,234.85119
-35.687711,40,237.300792
-86.448375,58,240.726142
-50.40762,46,243.486597
49.5786,1,243.670226
16.051625,16,244.710021
-30.592511,39,247.083628
-50.046957,17,248.211026
-132.221682,50,251.216651
-79.939073,29,253.040809
36.051625,9,253.679959
-20.796282,36,255.922453
18.151279,18,257.135549
-14.44447,30,259.043496
-33.167141,39,261.495321
-38.226871,43,264.141832
-16.448375,29,265.945077
15.792359,18,267.197279
-94.423123,35,269.427523
22.062758,16,270.507069
32.829593,10,271.251517
-55.39675,48,274.220627
17.09238,19,275.493192
-0.434256,25,277.136831
26.040755,13,278.051703
3.347399,22,279.497386
-33.239122,39,281.929967
