brand_name,model,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/usable_phases,ac_charger/max_power,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power
Abarth,500E,2024,42.2,22.2,3,11,85,0,80.75,50,85,80,42.5,100,17,TRUE,,,,,,,,,,,,,,,,,,
Abarth,600e Scorpionissima,2024,50.8,18.1,3,11,100,0,100,50,100,80,60,100,30,FALSE,280,18.1,,,,,,,,,,,,,,,,
Abarth,500e Convertible,2023,37.8,16.8,3,11,85,0,85,50,85,80,51,100,25.5,FALSE,225,16.8,,,,,,,,,,,,,,,,
Abarth,500e Scorpionissima,2023,37.8,16.8,3,11,85,0,85,50,85,80,51,100,25.5,FALSE,225,16.8,,,,,,,,,,,,,,,,
Abarth,600e Turismo,2024,50.8,18.1,3,11,100,0,100,50,100,80,60,100,30,FALSE,280,18.1,,,,,,,,,,,,,,,,
Abarth,scorpionissima,2023,37.8,16.8,3,11,37.8,0,37.8,50,37.8,80,22.68,100,11,FALSE,,,,,,,,,,,,,,,,,,
Abarth,hatchback,2023,37.8,16.8,3,11,37.8,0,37.8,50,37.8,80,22.68,100,11,FALSE,,,,,,,,,,,,,,,,,,
Abarth,convertible,2023,37.8,16.8,3,11,37.8,0,37.8,50,37.8,80,22.68,100,11,FALSE,,,,,,,,,,,,,,,,,,
Aiways,U5.,2022,60,19,3,11,60,0,60,50,60,80,36,100,11,FALSE,,,,,,,,,,,,,,,,,,
Aiways,U6.,2022,60,17.1,3,11,60,0,60,50,60,80,36,100,11,FALSE,350,17.1,,,,,,,,,,,,,,,,
Alpine,A290 Electric 220 hp,2024,52,17,3,11,100,0,100,50,100,80,50,100,20,FALSE,305,17,,,,,,,,,,,,,,,,
Alpine,A290 Electric 180 hp,2024,52,16.8,3,11,100,0,100,50,100,80,50,100,20,FALSE,310,16.8,,,,,,,,,,,,,,,,
Artega,Karo,2020,14.4,7.2,1,4,150,0,150,20,150,40,120,60,90,TRUE,,,80,60,100,11,,,,,,,,,,,,
Audi,GT,2021,85,21,3,11,268,0,254.6,75,268,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
