brand_name,brand_id,id,brand,model,vehicle_type,variant,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/ports/0,ac_charger/usable_phases,ac_charger/max_power,dc_charger/ports/0,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,charging_voltage,url,status,error,updated_at,isFixingEmptyName,_manually_fixed_fields/0,battery_size,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,_manually_fixed_fields/1,energy_consumption/range,ac_charger/ports/1,type,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,_model_hash,ac_charger/phases,nominal_battery_size,battery_type,dc_charger/ports/1,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power,dc_charger/ports/2
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,a7805129-057a-45a1-b9a5-3cef58aceb3d,Abarth,500E,car,hatchback,2024.0,42.2,22.2,type2,3.0,11.0,ccs,85.0,0.0,80.75,50.0,85.0,80.0,42.5,100.0,17.0,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,4c8056b2-f149-49c8-aa9e-0c41dbdc8fcd,Abarth,600e Scorpionissima,car,,2024.0,50.8,18.1,type2,3.0,11.0,ccs,100.0,0.0,100.0,50.0,100.0,80.0,60.0,100.0,30.0,False,400.0,,,,,,,50.8,280.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,2273eb5b-1f60-408b-9225-962e0ee51520,Abarth,500e Convertible,car,,2023.0,37.8,16.8,type2,3.0,11.0,ccs,85.0,0.0,85.0,50.0,85.0,80.0,51.0,100.0,25.5,False,400.0,,,,,,,37.8,225.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,5ae0a3e1-bc84-4a36-99c8-8fc5480882da,Abarth,500e Scorpionissima,car,,2023.0,37.8,16.8,type2,3.0,11.0,ccs,85.0,0.0,85.0,50.0,85.0,80.0,51.0,100.0,25.5,False,400.0,,,,,,,37.8,225.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,4af9142c-1a9a-4dc1-92a1-999277a44f6d,Abarth,600e Turismo,car,,2024.0,50.8,18.1,type2,3.0,11.0,ccs,100.0,0.0,100.0,50.0,100.0,80.0,60.0,100.0,30.0,False,400.0,,,,,,,50.8,280.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,c596c2eb-b868-49b5-b1e4-c83cac46ad84,Abarth,scorpionissima,car,,2023.0,37.8,16.8,type2,3.0,11.0,ccs,37.8,0.0,37.8,50.0,37.8,80.0,22.68,100.0,11.0,False,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bk8c6,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,e270a688-4e2a-4017-a856-82cdfba1816f,Abarth,hatchback,car,,2023.0,37.8,16.8,type2,3.0,11.0,ccs,37.8,0.0,37.8,50.0,37.8,80.0,22.68,100.0,11.0,False,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83fjdy,,,,,,,
Abarth,3fcb4e15-c510-4453-a0cd-6a8d1a980e8d,2bc3791c-f0bd-4a0d-82bc-80ab11e57657,Abarth,convertible,car,,2023.0,37.8,16.8,type2,3.0,11.0,ccs,37.8,0.0,37.8,50.0,37.8,80.0,22.68,100.0,11.0,False,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,yn6u7w,,,,,,,
Aiways,a43d2607-eead-46c2-9fd5-2ebd3c49d895,6033b26c-1b3c-441b-9f78-7b7cd5512051,Aiways,U5.,car,,2022.0,60.0,19.0,type2,3.0,11.0,ccs,60.0,0.0,60.0,50.0,60.0,80.0,36.0,100.0,11.0,False,400.0,https://ev-database.org/car/1678/Aiways-U5,pending,empty model name,2025-04-11T13:42:18.814Z,True,energy_consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiways,a43d2607-eead-46c2-9fd5-2ebd3c49d895,6b7e4753-42d2-4bf3-93fe-28e8f10e6fd8,Aiways,U6.,car,,2022.0,60.0,17.1,type2,3.0,11.0,ccs,60.0,0.0,60.0,50.0,60.0,80.0,36.0,100.0,11.0,False,400.0,https://ev-database.org/car/1766/Aiways-U6,pending,empty model name,2025-04-11T13:44:07.319Z,True,charging_curve,60.0,350.0,17.1,,,,,energy_consumption,,,,,,,,,,,,,,,,,,,,,
Alpine,e8d7c6b5-a4f3-4e21-0b9a-8b7c6d5e4f3a,6639910f-4391-4845-a5f8-b1097f1f734f,Alpine,A290 Electric 220 hp,car,,2024.0,52.0,17.0,type2,3.0,11.0,ccs,100.0,0.0,100.0,50.0,100.0,80.0,50.0,100.0,20.0,False,400.0,,,,,,,52.0,305.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
