company_name,Region,Specifics,City,Postcode,pricing_model,price_per_kwh,weekend_price,connection_fee,subscription_required,subscription_fee,access_type,peak_hours,off_peak_hours,off_peak_price,peak_price,payg_price_per_kwh,resident_price_per_kwh,fast_subscriber_price,fast_payg_price,fast_contactless_price,rapid_subscriber_price,rapid_payg_price,rapid_contactless_price,ultra_subscriber_price,ultra_payg_price,ultra_contactless_price,notes,infrastructure_fee,borough_specific_rates_flag,time_sensitive_flag,day_sensitive_flag,has_membership_tiers,rates_vary_by_connector,max_overstay_fee,overstay_fee_start_min,minimum_charge_amount,contactless_only_flag,idle_fee_flag,pre_auth_fee_flag,pre_auth_avg_fee,pre_auth_fee_contactless,pre_auth_fee_app_or_registered,pre_auth_fee_standard,pre_auth_fee_lamppost,pre_auth_fee_rapid,pre_auth_fee_bank_dependent,idle_fee_avg,qr_or_app_only_flag
ubitricity,London,0,0,0,per_kWh,0.54,0,0,No,0,public,06:00-23:00,23:00-06:00,0.47,0.57,,,,,,,,,,,,,,0,0,0,0,,,,,0,,1,25,,,,,,0,,0
SureCharge/FM Conway,nationwide,0,0,0,per_kWh,0,0.49,0,No,0,public,19:00-16:00,16:00-19:00,0.85,0.49,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,1,45,,,,,,0,,0
Source London,London,0,0,0,,0.55,,,TRUE,4,,,,,,0.65,0.46,,,,,,,,,,Same pricing across boroughs; idle fees waived overnight,,1,1,1,1,1,3.6,0,,0,1,0,,,,,,,0,,0
Char.gy,nationwide,0,0,0,per_kWh,0,0,0,No,0,public,07:00-00:00,00:00-07:00,0.39,0.59,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,0,,,,,,,0,,0
BP Pulse,nationwide,0,0,0,,,,,TRUE,,,,,,,,,0.44,0.65,0.65,0.63,0.83,0.85,0.69,0.87,0.89,"Prices may vary slightly by site, shown in live app",,0,0,0,1,0,,,,1,,1,,,,,,,1,,0
Zest,nationwide,0,0,0,,,,0,FALSE,0,,,,,,,,,0.39â0.55,,,0.65â0.75,,,,,Prices vary by location; QR/App payment only; No membership required Auto top-up removes pre-auth; balance-based session ends at Â£0; banks may take up to 7 days to release hold.,,0,0,0,0,0,,,,0,,1,,,,20,36,40,0,,0
GeniePoint,nationwide,0,0,0,per_kWh,0.9,0.9,0,Optional,0,app + contactless,,,,,0.85,,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.9,0.9,Registered: 85p/kWh London. Contactless: 90p/kWh London. Overstay: £10 after 90 min and every 90 min after. Pre-auth: £25 app / £35 contactless. No connection fees.,,0,0,0,0,0,,,,0,,1,,35,25,,,,0,,0
City EV,London,0,0,0,per_kWh,0.33,0.33,1,No,0,contactless + app,,,,,0.33,,,0.33,0.33,,0.33,0.33,,0.33,0.33,Contactless minimum charge £1. Pre-authorisation up to £45.,,0,0,0,0,0,,,1,1,,1,45,,,,,,0,,0
Pod Point,nationwide,Tesco,0,0,per_kWh,,,0,No,0,app,,,,,,,,,,,0.62,0.62,,0.69,0.69,"Tesco: 50kW @62p, Lidl without app @74p, 75kW @69p.",,0,0,0,0,1,,,,0,,0,,,,,,,0,,0
Pod Point,nationwide,Lidil,0,0,per_kWh,,,0,No,0,app,,,,,,,,,,,0.74,0.62,,,,"Tesco: 50kW @62p, Lidl without app @74p, 75kW @69p.",,0,0,0,0,1,,,1,0,,0,,,,,,,0,,0
Qwello,nationwide,0,0,0,per_kWh + per_minute,0.42,0.42,0,No,0,app,07:00-21:00,21:00-07:00,0.42,0.42,0.42,,0.42,0.42,,,,,,,,2p/min fee applies. Nighttime max fee: £3.60.,0.5,0,0,0,0,0,,,,0,1,0,,,,,,,0,0.02,0
Believ,nationwide,0,0,0,per_kWh,0.66,0.66,0,Optional,5,app + contactless,,,,,0.66,,0.53,0.56,0.56,0.6,0.66,0.66,0.6,0.66,0.66,"£5/month membership saves 3–6p/kWh. Pre-auth £30 (guests), £25 (members). Overstay fee varies.",,0,0,0,1,0,18,180,,0,1,1,15,,,,,,0,,0
ESB EV Solutions,nationwide,0,0,0,per_kWh,0.73,0.73,0,Optional,4.99,app + contactless + RFID,,,,,0.67,,0.59,0.63,0.73,0.62,0.67,0.73,0.73,0.77,0.73,£4.99/month general membership. £10 RFID for PAYG. Pre-auth £5. Overstay only in London.,,0,1,1,1,0,35,60,,0,1,1,5,,,,,,0,,0
Connected Kerb,nationwide,0,0,0,per_kWh,0.5,0.5,0,No,0,app + contactless,,,,,0.5,,0.5,0.5,0.5,,,,,,,Connected Kerb 7–22kW chargers at 50p/kWh. No subscription.,,0,0,0,0,0,,,,0,,0,,,,,,,0,,1
Blink Charging,nationwide,0,0,0,per_kWh,0.5487,0.5929,0.2,No,0,App,,,,,0.5929,,,0.5929,,,0.682,,,,,"Lamp post avg: 54.87p/kWh, 0.20p connection fee.",,0,0,0,0,0,,,,1,1,0,,,,,,,0,,0
Smart Charge,nationwide,0,0,0,per_kWh,0.49,0.49,0,No,0,App or contactless (assumed),,,,,0.49,,,0.49,,,0.49,,,0.72,,No subscription required. Fast (7/22kW) max 49p/kWh. Ultra-rapid max 72p/kWh.,,0,0,0,0,1,,,,0,,0,,,,,,,0,,1
